date,ticker,position_id,daily_coupon,daily_bond_mtm,daily_short,daily_gamma,daily_borrow,daily_rebate,daily_rebal_cost,daily_total,cumulative_pnl,pnl_pct,mispricing_pct,delta,shares_short,rebalanced
2023-01-04,KRG,1,0.0,14300.06,-13435.92,864.14,-7.91,114.77,-0.0,1835.13,-3490.54,-0.3491,17.5945,0.6899,30536.1825,False
2023-01-05,KRG,1,22.02,-17301.7,22902.14,5859.75,-7.64,113.43,-0.0,11587.99,8097.45,0.8097,16.5597,0.6717,30536.1825,False
2023-01-06,KRG,1,22.03,-5844.74,6107.24,168.8,-7.57,110.26,-0.0,556.02,8653.47,0.8653,15.3952,0.6569,30536.1825,False
2023-01-09,KRG,1,66.06,-7778.89,12214.47,3982.69,-7.42,107.93,-0.0,8584.84,17238.31,1.7238,15.8295,0.6486,30536.1825,False
2023-01-10,KRG,1,22.02,-10759.39,12519.83,1144.02,-7.27,106.54,-28.28,2997.46,20235.77,2.0236,12.4665,0.619,27709.6253,True
2023-01-11,KRG,1,22.02,21064.31,-17179.97,3884.35,-6.81,99.97,-0.0,7883.87,28119.65,2.812,14.451,0.6476,27709.6253,False
2023-01-12,KRG,1,22.03,18295.2,-22998.99,-5764.09,-7.08,102.52,-0.0,-10350.42,17769.23,1.7769,11.2534,0.6511,27709.6253,False
2023-01-13,KRG,1,22.02,-17354.54,18565.45,2171.69,-6.86,99.71,-0.0,3497.46,21266.69,2.1267,15.7887,0.6538,27709.6253,False
2023-01-17,KRG,1,88.07,3149.61,-6373.21,-3581.3,-6.93,100.8,-0.0,-6622.96,14643.72,1.4644,16.4436,0.6607,27709.6253,False
2023-01-18,KRG,1,22.03,-12334.2,11915.14,383.44,-6.79,97.75,-0.0,77.37,14721.09,1.4721,15.6056,0.6418,27709.6253,False
2023-01-19,KRG,1,22.02,-6806.53,9144.18,2673.89,-6.68,96.96,-0.0,5123.82,19844.91,1.9845,14.2046,0.6265,27709.6253,False
2023-01-20,KRG,1,22.02,10220.37,-7758.7,2368.1,-6.78,98.21,-0.0,4943.22,24788.13,2.4788,13.9822,0.636,27709.6253,False
2023-01-23,KRG,1,66.06,9765.89,-11083.85,-1622.04,-6.91,100.92,-0.0,-2779.92,22008.2,2.2008,12.7195,0.6417,27709.6253,False
2023-01-24,KRG,1,22.03,951.22,-3602.25,-2782.62,-6.95,100.85,-0.0,-5317.72,16690.48,1.669,17.9193,0.6675,27709.6253,False
2023-01-25,KRG,1,22.02,-4597.58,2216.77,-2207.22,-6.92,99.92,-0.0,-4473.02,12217.46,1.2217,12.1466,0.6373,27709.6253,False
2023-01-26,KRG,1,22.02,1786.19,-1108.39,645.02,-6.94,100.73,-0.0,1438.63,13656.09,1.3656,15.7905,0.6556,27709.6253,False
2023-01-27,KRG,1,22.03,14458.6,-14963.2,-1387.66,-7.12,103.03,-0.0,-1774.33,11881.77,1.1882,12.4848,0.6571,27709.6253,False
2023-01-30,KRG,1,66.06,-12228.5,11083.85,-463.57,-6.98,101.86,-0.0,-1447.29,10434.48,1.0434,15.3512,0.6581,27709.6253,False
2023-01-31,KRG,1,22.02,17153.73,-14686.1,1539.97,-7.16,103.89,-0.0,4126.34,14560.82,1.4561,14.4518,0.6679,27709.6253,False
2023-02-01,KRG,1,0.0,6510.6,-8589.98,-2757.07,-7.26,104.9,-0.0,-4738.82,9822.0,0.9822,13.2315,0.6681,27709.6253,False
2023-02-02,KRG,1,22.02,11520.37,-14686.1,-4328.92,-7.44,106.41,-40.51,-7414.17,2407.83,0.2408,19.8822,0.6993,31304.258,True
