date,nav,cash,positions_value,n_open_positions,daily_cash_income,open_tickers
2023-01-03,9996527.51,9001853.17,994674.33,1,1853.17,KRG
2023-01-04,10000023.91,9003514.45,996509.46,1,1661.27,KRG
2023-01-05,10013310.17,9005212.72,1008097.45,1,1698.27,KRG
2023-01-06,10015535.19,9006881.72,1008653.47,1,1669.0,KRG
2023-01-09,10025786.3,9008547.99,1017238.31,1,1666.27,KRG
2023-01-10,10030461.79,9010226.01,1020235.77,1,1678.02,KRG
2023-01-11,10040028.68,9011909.03,1028119.65,1,1683.02,KRG
2023-01-12,10031339.16,9013569.94,1017769.23,1,1660.91,KRG
2023-01-13,10036503.99,9015237.3,1021266.69,1,1667.37,KRG
2023-01-17,10031548.56,9016904.84,1014643.72,1,1667.53,KRG
2023-01-18,10033278.13,9018557.04,1014721.09,1,1652.2,KRG
2023-01-19,10040066.88,9020221.97,1019844.91,1,1664.93,KRG
2023-01-20,10046673.9,9021885.77,1024788.13,1,1663.8,KRG
2023-01-23,10045570.5,9023562.3,1022008.2,1,1676.53,KRG
2023-01-24,10041918.85,9025228.37,1016690.48,1,1666.06,KRG
2023-01-25,10039103.79,9026886.32,1012217.46,1,1657.96,KRG
2023-01-26,10042210.24,9028554.15,1013656.09,1,1667.82,KRG
2023-01-27,10042099.67,9030217.91,1011881.77,1,1663.76,KRG
2023-01-30,10042327.96,9031893.48,1010434.48,1,1675.57,KRG
2023-01-31,10048122.26,9033561.44,1014560.82,1,1667.96,KRG
2023-02-01,10045044.72,9035222.72,1009822.0,1,1661.28,KRG
2023-02-02,10039277.4,9036869.57,1002407.83,1,1646.85,KRG
2023-02-03,10044798.96,9038566.81,1006232.15,1,1697.25,KRG
2023-02-06,10048978.49,9040304.12,1008674.37,1,1737.31,KRG
2023-02-07,10048189.03,9042035.77,1006153.26,1,1731.65,KRG
2023-02-08,10052743.64,9043762.69,1008980.95,1,1726.92,KRG
2023-02-09,10063630.02,9045503.43,1018126.58,1,1740.74,KRG
2023-02-10,10062048.64,9047250.8,1014797.84,1,1747.36,KRG
2023-02-13,10062531.39,9049004.2,1013527.19,1,1753.41,KRG
2023-02-14,10053537.18,9050782.15,1002755.02,1,1777.95,KRG
2023-02-15,10057037.81,9052560.27,1004477.54,1,1778.12,KRG
2023-02-16,10054175.81,9054344.42,999831.39,1,1784.14,KRG
2023-02-17,10063624.91,9056130.17,1007494.74,1,1785.75,KRG
2023-02-21,10071080.7,9057926.81,1013153.89,1,1796.64,KRG
2023-02-22,10067175.38,9059736.56,1007438.83,1,1809.75,KRG
2023-02-23,10075109.35,9061538.66,1013570.69,1,1802.1,KRG
2023-02-24,10070598.7,8063334.64,2007264.06,2,1795.98,KRG|PPL2
2023-02-27,10059426.16,8064933.51,1994492.65,2,1598.88,KRG|PPL2
2023-02-28,10052317.52,8066526.44,1985791.08,2,1592.92,KRG|PPL2
2023-03-01,10056790.44,8068132.57,1988657.87,2,1606.14,KRG|PPL2
2023-03-02,10051347.08,8069728.4,1981618.68,2,1595.83,KRG|PPL2
2023-03-03,10054269.94,8071328.41,1982941.53,2,1600.02,KRG|PPL2
2023-03-06,10052014.33,8072943.41,1979070.92,2,1615.0,KRG|PPL2
2023-03-07,10054794.81,8074607.5,1980187.31,2,1664.08,KRG|PPL2
2023-03-08,10161718.95,8076277.88,2085441.07,2,1670.39,KRG|PPL2
2023-03-09,10056285.44,8077914.36,1978371.08,2,1636.47,KRG|PPL2
2023-03-10,10085411.15,8079456.56,2005954.59,2,1542.21,KRG|PPL2
2023-03-13,10068717.99,8080786.02,1987931.97,2,1329.46,KRG|PPL2
2023-03-14,10059002.9,8082209.68,1976793.22,2,1423.66,KRG|PPL2
2023-03-15,10055266.7,8083493.76,1971772.94,2,1284.08,KRG|PPL2
2023-03-16,10067849.63,8084913.31,1982936.32,2,1419.55,KRG|PPL2
2023-03-17,10088155.12,8086239.56,2001915.56,2,1326.25,KRG|PPL2
2023-03-20,10090681.22,8087622.82,2003058.41,2,1383.26,KRG|PPL2
2023-03-21,10091562.81,8089083.15,2002479.66,2,1460.33,KRG|PPL2
2023-03-22,10111948.59,8090508.62,2021439.97,2,1425.48,KRG|PPL2
2023-03-23,10130309.03,8091895.95,2038413.08,2,1387.33,KRG|PPL2
2023-03-24,10186855.47,8093251.86,2093603.61,2,1355.91,KRG|PPL2
2023-03-27,10178601.74,8094682.66,2083919.08,2,1430.8,KRG|PPL2
2023-03-28,10167046.34,8096133.63,2070912.71,2,1450.97,KRG|PPL2
2023-03-29,10152236.67,8097576.9,2054659.77,2,1443.26,KRG|PPL2
2023-03-30,10144973.81,8099049.92,2045923.89,2,1473.02,KRG|PPL2
2023-03-31,10141924.91,8100525.42,2041399.49,2,1475.51,KRG|PPL2
2023-04-03,10134467.37,8101989.72,2032477.65,2,1464.3,KRG|PPL2
2023-04-04,10145312.08,8103419.3,2041892.78,2,1429.58,KRG|PPL2
