date,ticker,position_id,event,N_bonds,shares_short,entry_dirty,entry_stock,entry_delta,entry_mispricing,conversion_ratio,shares_traded,stock_price,new_delta,mispricing,cumulative_pnl,exit_dirty,exit_stock,exit_mispricing,entry_date,holding_days,total_pnl,pnl_pct,pnl_coupon,pnl_bond_mtm,pnl_short,pnl_gamma,costs_borrow,costs_tc
2023-01-03,KRG,1,entry,1056.9149,30536.1825,94.615,21.33,0.6822,17.6441,42.3518,,,,,,,,,,,,,,,,,,
2023-01-10,KRG,1,rebalance,,,,,,,,2826.5572,20.01,0.619,12.4665,20235.77,,,,,,,,,,,,,
2023-02-02,KRG,1,rebalance,,,,,,,,3594.6327,22.54,0.6993,19.8822,2407.83,,,,,,,,,,,,,
2023-02-24,PPL2,2,entry,996.9096,17557.7111,100.31,27.69,0.6002,4.7406,29.3432,,,,,,,,,,,,,,,,,,
2023-03-13,KRG,1,rebalance,,,,,,,,2284.1283,20.27,0.6483,17.247,21741.22,,,,,,,,,,,,,
2023-03-22,KRG,1,rebalance,,,,,,,,3745.5263,18.92,0.5646,12.2064,29993.35,,,,,,,,,,,,,
2023-03-23,PPL2,2,rebalance,,,,,,,,1684.7987,25.91,0.5426,8.0062,12810.92,,,,,,,,,,,,,
2023-03-27,KRG,1,rebalance,,,,,,,,4712.6595,19.47,0.6699,22.3844,79335.95,,,,,,,,,,,,,
2023-03-30,KRG,1,rebalance,,,,,,,,2246.9756,20.08,0.6197,13.6813,38959.03,,,,,,,,,,,,,
2023-04-06,PPL2,2,rebalance,,,,,,,,1540.9055,28.55,0.5953,8.6278,-11589.13,,,,,,,,,,,,,
2023-04-06,DUK,3,entry,977.5267,4160.8418,102.299,99.74,0.504,5.3248,8.4447,,,,,,,,,,,,,,,,,,
2023-05-05,KRG,1,rebalance,,,,,,,,2395.8101,20.65,0.6732,22.779,33908.35,,,,,,,,,,,,,
2023-05-09,KRG,1,rebalance,,,,,,,,2283.2778,20.51,0.6222,13.8556,36581.34,,,,,,,,,,,,,
2023-05-22,DUK,3,rebalance,,,,,,,,603.872,91.97,0.4309,4.5828,25392.65,,,,,,,,,,,,,
2023-05-25,PPL2,2,rebalance,,,,,,,,1919.4916,26.0,0.5297,6.8743,-6499.26,,,,,,,,,,,,,
2023-06-06,KRG,1,rebalance,,,,,,,,2696.4334,20.58,0.6825,22.9501,39466.7,,,,,,,,,,,,,
2023-06-13,VTR,4,entry,986.1447,9977.6546,101.405,45.91,0.5536,7.6989,18.2778,,,,,,,,,,,,,,,,,,
2023-06-16,PPL2,2,rebalance,,,,,,,,1613.0422,26.99,0.5848,10.3703,-9607.35,,,,,,,,,,,,,
2023-06-20,PPL2,2,rebalance,,,,,,,,1695.1248,26.7,0.5269,5.0689,-8755.89,,,,,,,,,,,,,
2023-07-20,VTR,4,rebalance,,,,,,,,1004.5084,49.69,0.6093,6.7257,-13681.78,,,,,,,,,,,,,
2023-07-28,PPL2,2,exit_no_data,996.9096,15412.2438,,,,,,,,,,,98.498,27.97,0.0,2023-02-24,154.0,-34950.93,-3.4951,0.0,-18064.0,3801.68,-17774.87,527.01,10481.48
2023-07-31,PPL2,5,entry,1023.0284,16932.5048,97.749,27.53,0.5641,7.3496,29.3432,,,,,,,,,,,,,,,,,,
2023-08-02,KRG,1,rebalance,,,,,,,,2758.1158,23.86,0.7441,7.366,4293.02,,,,,,,,,,,,,
2023-08-04,VTR,4,rebalance,,,,,,,,1602.7975,44.93,0.5204,7.2177,9757.44,,,,,,,,,,,,,
2023-08-15,KRG,1,rebalance,,,,,,,,2260.9414,22.76,0.6936,11.5792,40479.82,,,,,,,,,,,,,
2023-08-15,VTR,4,rebalance,,,,,,,,921.0548,42.08,0.4693,7.0804,25160.1,,,,,,,,,,,,,
2023-08-16,PPL2,5,rebalance,,,,,,,,1824.3101,25.36,0.5033,7.3926,5299.57,,,,,,,,,,,,,
2023-09-01,DUK,3,rebalance,,,,,,,,617.1377,87.93,0.3561,4.9633,35141.13,,,,,,,,,,,,,
2023-09-14,DUK,3,rebalance,,,,,,,,736.3469,95.45,0.4453,5.567,20167.34,,,,,,,,,,,,,
2023-10-02,KRG,1,rebalance,,,,,,,,2333.9486,20.95,0.6414,12.4318,26132.65,,,,,,,,,,,,,
2023-10-02,DUK,3,rebalance,,,,,,,,667.4761,85.44,0.3645,6.203,49108.91,,,,,,,,,,,,,
2023-10-02,PPL2,5,rebalance,,,,,,,,1923.3425,22.55,0.4392,6.5855,-1456.9,,,,,,,,,,,,,
2023-10-25,PPL2,5,rebalance,,,,,,,,1770.5762,24.38,0.4982,6.9584,-14316.73,,,,,,,,,,,,,
2023-11-08,DUK,3,exit_no_data,977.5267,3008.7029,,,,,,,,,,,98.309,90.28,0.0,2023-04-06,216.0,11851.57,1.1852,2016.15,-39003.31,46828.79,3800.51,452.95,10266.86
2023-11-27,DUK,6,entry,1012.8941,3109.9322,98.727,90.93,0.3636,3.1135,8.4447,,,,,,,,,,,,,,,,,,
2023-12-04,VTR,4,rebalance,,,,,,,,1116.9997,47.18,0.5312,3.9263,32714.4,,,,,,,,,,,,,
2023-12-13,DUK,6,rebalance,,,,,,,,652.4851,98.08,0.4399,4.8779,-26744.6,,,,,,,,,,,,,
2023-12-14,KRG,1,rebalance,,,,,,,,2307.4494,23.43,0.693,10.4092,86410.07,,,,,,,,,,,,,
2023-12-14,VTR,4,rebalance,,,,,,,,1201.9855,50.53,0.5979,4.8479,26203.28,,,,,,,,,,,,,
2023-12-26,PPL2,5,exit_no_data,1023.0284,14955.4284,,,,,,,,,,,97.375,26.41,0.0,2023-07-31,148.0,41875.85,4.1876,7761.52,-3826.13,24709.76,17712.34,382.61,10477.83
