ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,n_cashflows,effective_discount_rate,premium_to_floor
BXP,2025-09-25,99.944,99.944,89.139136,89.139136,0.0,11,4.4127,10.8049
BXP,2025-09-26,99.75,99.75,89.130691,89.130691,0.0,11,4.4101,10.6193
BXP,2025-09-29,100.102,100.108,89.296222,89.296222,0.0,11,4.3809,10.8058
BXP,2025-09-30,99.627,99.638,89.302834,89.302834,0.0,11,4.3784,10.3242
BXP,2025-10-01,100.55,100.567,89.486749,89.486749,0.0,11,4.3439,11.0633
BXP,2025-10-02,100.1,100.122,89.613241,89.613241,0.0,11,4.321,10.4868
BXP,2025-10-03,100.304,100.343,89.522575,89.522575,0.0,11,4.3433,10.7814
BXP,2025-10-06,99.881,99.925,89.462583,89.462583,0.0,11,4.3587,10.4184
BXP,2025-10-07,98.807,98.857,89.52169,89.52169,0.0,11,4.3505,9.2853
BXP,2025-10-08,98.76,98.816,89.513803,89.513803,0.0,11,4.3564,9.2462
BXP,2025-10-09,97.645,97.707,89.407516,89.407516,0.0,11,4.3839,8.2375
BXP,2025-10-13,97.064,97.147,89.572428,89.572428,0.0,11,4.3586,7.4916
BXP,2025-10-14,97.204,97.292,89.817457,89.817457,0.0,11,4.3133,7.3865
BXP,2025-10-15,98.429,98.523,89.827805,89.827805,0.0,11,4.3164,8.6012
BXP,2025-10-16,97.182,97.282,90.009937,90.009937,0.0,11,4.2747,7.1721
BXP,2025-10-17,97.632,97.748,89.989855,89.989855,0.0,11,4.2794,7.6421
BXP,2025-10-20,97.658,97.78,90.082656,90.082656,0.0,11,4.2653,7.5753
BXP,2025-10-21,98.313,98.441,90.117368,90.117368,0.0,11,4.2668,8.1956
BXP,2025-10-22,98.79,98.924,90.121565,90.121565,0.0,11,4.2694,8.6684
BXP,2025-10-23,99.337,99.476,90.062041,90.062041,0.0,11,4.2845,9.275
BXP,2025-10-24,99.729,99.884,90.1203,90.1203,0.0,11,4.2696,9.6087
BXP,2025-10-27,99.7,99.861,90.161203,90.161203,0.0,11,4.2661,9.5388
BXP,2025-10-28,99.544,99.711,90.14802,90.14802,0.0,11,4.2776,9.396
BXP,2025-10-29,97.958,98.13,89.873989,89.873989,0.0,11,4.3504,8.084
BXP,2025-10-30,97.766,97.944,89.667256,89.667256,0.0,11,4.3977,8.0987
BXP,2025-10-31,98.296,98.485,89.575209,89.575209,0.0,11,4.4179,8.7208
BXP,2025-11-03,97.948,98.142,89.418281,89.418281,0.0,11,4.4661,8.5297
BXP,2025-11-04,97.289,97.489,89.555291,89.555291,0.0,11,4.4341,7.7337
BXP,2025-11-05,97.286,97.491,89.413115,89.413115,0.0,11,4.4667,7.8729
BXP,2025-11-06,97.371,97.582,89.573422,89.573422,0.0,11,4.4263,7.7976
BXP,2025-11-07,98.677,98.904,89.604393,89.604393,0.0,11,4.4203,9.0726
BXP,2025-11-10,98.556,98.795,89.595502,89.595502,0.0,11,4.4349,8.9605
BXP,2025-11-11,99.07,99.309,89.607079,89.607079,0.0,11,4.4348,9.4629
BXP,2025-11-12,98.851,99.096,89.684298,89.684298,0.0,11,4.4245,9.1667
BXP,2025-11-13,98.521,98.771,89.567008,89.567008,0.0,11,4.4592,8.954
BXP,2025-11-14,98.207,98.473,89.506727,89.506727,0.0,11,4.4707,8.7003
BXP,2025-11-17,96.856,97.129,89.52146,89.52146,0.0,11,4.4776,7.3345
BXP,2025-11-19,97.241,97.524,89.62476,89.62476,0.0,11,4.4534,7.6162
BXP,2025-11-20,97.263,97.552,89.675065,89.675065,0.0,11,4.445,7.5879
BXP,2025-11-21,97.798,98.104,89.821369,89.821369,0.0,11,4.4146,7.9766
BXP,2025-11-24,97.977,98.288,89.976625,89.976625,0.0,11,4.3903,8.0004
BXP,2025-11-25,99.21,99.527,90.18559,90.18559,0.0,11,4.3467,9.0244
BXP,2025-12-01,98.615,98.965,90.065362,90.065362,0.0,11,4.3716,8.5496
BXP,2025-12-02,98.523,98.879,90.109596,90.109596,0.0,11,4.3541,8.4134
BXP,2025-12-05,97.801,98.184,90.033684,90.033684,0.0,11,4.3671,7.7673
BXP,2025-12-08,96.895,97.283,89.936488,89.936488,0.0,11,4.393,6.9585
BXP,2025-12-09,97.097,97.491,89.853318,89.853318,0.0,11,4.4162,7.2437
BXP,2025-12-10,98.028,98.428,90.020075,90.020075,0.0,11,4.3646,8.0079
BXP,2025-12-11,98.465,98.871,90.065266,90.065266,0.0,11,4.3589,8.3997
BXP,2025-12-12,98.201,98.623,89.946759,89.946759,0.0,11,4.3707,8.2542
BXP,2025-12-15,98.375,98.803,89.9731,89.9731,0.0,11,4.3702,8.4019
BXP,2025-12-16,97.8,98.233,90.100067,90.100067,0.0,11,4.3476,7.6999
BXP,2025-12-17,97.754,98.193,90.120474,90.120474,0.0,11,4.3429,7.6335
BXP,2025-12-18,97.425,97.869,90.231672,90.231672,0.0,11,4.3197,7.1933
BXP,2025-12-19,97.276,97.737,90.173436,90.173436,0.0,11,4.3379,7.1026
BXP,2025-12-22,97.0,97.467,90.181417,90.181417,0.0,11,4.3437,6.8186
BXP,2025-12-23,96.884,97.356,90.128645,90.128645,0.0,11,4.3576,6.7554
BXP,2025-12-30,97.25,97.761,90.452515,90.452515,0.0,11,4.2947,6.7975
BXP,2026-01-02,96.75,97.283,90.251652,90.251652,0.0,11,4.3343,6.4983
BXP,2026-01-05,96.581,97.12,90.35819,90.35819,0.0,11,4.3183,6.2228
