ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,n_cashflows,effective_discount_rate,premium_to_floor
DLR,2024-11-07,102.75,102.75,87.000246,87.000246,0.0,11,4.9124,15.7498
DLR,2024-11-08,103.82,103.82,87.069879,87.069879,0.0,11,4.9143,16.7501
DLR,2024-11-11,103.766,103.766,87.105518,87.105518,0.0,11,4.9145,16.6605
DLR,2024-11-12,103.399,103.404,86.750773,86.750773,0.0,11,4.9986,16.6482
DLR,2024-11-13,103.0,103.01,86.663801,86.663801,0.0,11,5.003,16.3362
DLR,2024-11-14,102.337,102.353,86.570235,86.570235,0.0,11,5.0423,15.7668
DLR,2024-11-15,102.732,102.763,86.565627,86.565627,0.0,11,5.0397,16.1664
DLR,2024-11-18,103.184,103.22,86.699757,86.699757,0.0,11,5.0198,16.4842
DLR,2024-11-19,104.541,104.583,86.80257,86.80257,0.0,11,5.0074,17.7384
DLR,2024-11-21,104.697,104.749,86.661716,86.661716,0.0,11,5.0548,18.0353
DLR,2024-11-22,105.611,105.678,86.641011,86.641011,0.0,11,5.0687,18.97
DLR,2024-11-25,106.743,106.816,87.057154,87.057154,0.0,11,4.9962,19.6858
DLR,2024-11-26,106.756,106.834,87.036755,87.036755,0.0,11,5.0057,19.7192
DLR,2024-11-27,107.43,107.519,87.219673,87.219673,0.0,11,4.9673,20.2103
DLR,2024-11-29,108.229,108.333,87.502049,87.502049,0.0,11,4.9081,20.727
DLR,2024-12-02,107.045,107.154,87.556714,87.556714,0.0,11,4.9055,19.4883
DLR,2024-12-03,106.927,107.042,87.543411,87.543411,0.0,11,4.9015,19.3836
DLR,2024-12-04,107.1,107.22,87.661437,87.661437,0.0,11,4.8673,19.4386
DLR,2024-12-05,107.034,107.159,87.681408,87.681408,0.0,11,4.8716,19.3526
DLR,2024-12-06,107.266,107.406,87.806807,87.806807,0.0,11,4.8365,19.4592
DLR,2024-12-09,106.149,106.295,87.799018,87.799018,0.0,11,4.8431,18.35
DLR,2024-12-10,106.514,106.665,87.76329,87.76329,0.0,11,4.8503,18.7507
DLR,2024-12-11,106.266,106.423,87.719519,87.719519,0.0,11,4.8483,18.5465
DLR,2024-12-12,106.163,106.325,87.51186,87.51186,0.0,11,4.8921,18.6511
DLR,2024-12-13,105.797,105.974,87.253772,87.253772,0.0,11,4.9395,18.5432
