ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,n_cashflows,effective_discount_rate,premium_to_floor
EEFT,2025-08-14,100.225,100.225,82.298792,82.298792,0.0,11,4.5186,17.9262
EEFT,2025-08-15,100.776,100.781,82.25869,82.25869,0.0,11,4.5264,18.5173
EEFT,2025-08-18,100.372,100.379,82.236643,82.236643,0.0,11,4.5379,18.1354
EEFT,2025-08-19,99.994,100.002,82.254668,82.254668,0.0,11,4.5383,17.7393
EEFT,2025-08-20,99.994,100.004,82.308039,82.308039,0.0,11,4.532,17.686
EEFT,2025-08-21,99.074,99.086,82.163588,82.163588,0.0,11,4.5723,16.9104
EEFT,2025-08-22,101.765,101.782,82.481737,82.481737,0.0,11,4.4928,19.2833
EEFT,2025-08-25,100.439,100.458,82.472099,82.472099,0.0,11,4.5034,17.9669
EEFT,2025-08-26,99.729,99.75,82.564096,82.564096,0.0,11,4.4822,17.1649
EEFT,2025-08-27,99.363,99.386,82.63196,82.63196,0.0,11,4.4687,16.731
EEFT,2025-08-28,99.243,99.267,82.69839,82.69839,0.0,11,4.4631,16.5446
EEFT,2025-08-29,98.996,99.026,82.658273,82.658273,0.0,11,4.4719,16.3377
EEFT,2025-09-02,97.796,97.827,82.499612,82.499612,0.0,11,4.5037,15.2964
EEFT,2025-09-03,97.695,97.728,82.690357,82.690357,0.0,11,4.4566,15.0046
EEFT,2025-09-04,97.858,97.893,82.945099,82.945099,0.0,11,4.4042,14.9129
EEFT,2025-09-05,97.917,97.957,83.233346,83.233346,0.0,11,4.3278,14.6837
EEFT,2025-09-08,97.71,97.751,83.350648,83.350648,0.0,11,4.31,14.3594
EEFT,2025-09-09,98.12,98.163,83.286698,83.286698,0.0,11,4.3365,14.8333
EEFT,2025-09-10,97.666,97.711,83.379656,83.379656,0.0,11,4.3178,14.2863
EEFT,2025-09-11,97.84,97.887,83.526385,83.526385,0.0,11,4.2835,14.3136
EEFT,2025-09-12,97.934,97.986,83.443663,83.443663,0.0,11,4.3042,14.4903
EEFT,2025-09-15,96.944,96.998,83.553316,83.553316,0.0,11,4.2841,13.3907
EEFT,2025-09-16,96.932,96.987,83.576242,83.576242,0.0,11,4.2771,13.3558
EEFT,2025-09-17,97.543,97.6,83.508035,83.508035,0.0,11,4.2883,14.035
EEFT,2025-09-18,96.954,97.013,83.436491,83.436491,0.0,11,4.2974,13.5175
EEFT,2025-09-19,96.746,96.81,83.353979,83.353979,0.0,11,4.309,13.392
EEFT,2025-09-22,96.741,96.807,83.315312,83.315312,0.0,11,4.3247,13.4257
EEFT,2025-09-23,97.25,97.318,83.342761,83.342761,0.0,11,4.3269,13.9072
EEFT,2025-09-24,95.954,96.024,83.221548,83.221548,0.0,11,4.3563,12.7325
EEFT,2025-09-25,95.58,95.651,83.026656,83.026656,0.0,11,4.4127,12.5533
EEFT,2025-09-26,96.04,96.116,83.01769,83.01769,0.0,11,4.4101,13.0223
EEFT,2025-09-29,96.409,96.487,83.176417,83.176417,0.0,11,4.3809,13.2326
EEFT,2025-09-30,95.717,95.797,83.182159,83.182159,0.0,11,4.3784,12.5348
EEFT,2025-10-01,95.43,95.512,83.359098,83.359098,0.0,11,4.3439,12.0709
EEFT,2025-10-02,95.604,95.687,83.480836,83.480836,0.0,11,4.321,12.1232
EEFT,2025-10-03,95.878,95.966,83.393017,83.393017,0.0,11,4.3433,12.485
EEFT,2025-10-07,94.904,94.996,83.390389,83.390389,0.0,11,4.3505,11.5136
EEFT,2025-10-08,94.706,94.8,83.382627,83.382627,0.0,11,4.3564,11.3234
EEFT,2025-10-09,94.461,94.556,83.280019,83.280019,0.0,11,4.3839,11.181
EEFT,2025-10-10,93.417,93.52,83.405923,83.405923,0.0,11,4.3587,10.0111
EEFT,2025-10-13,93.049,93.151,83.438064,83.438064,0.0,11,4.3586,9.6109
EEFT,2025-10-14,95.32,95.424,83.674328,83.674328,0.0,11,4.3133,11.6457
EEFT,2025-10-15,95.037,95.143,83.684131,83.684131,0.0,11,4.3164,11.3529
EEFT,2025-10-16,94.795,94.903,83.859188,83.859188,0.0,11,4.2747,10.9358
EEFT,2025-10-17,95.14,95.252,83.839201,83.839201,0.0,11,4.2794,11.3008
EEFT,2025-10-20,95.429,95.543,83.927633,83.927633,0.0,11,4.2653,11.5014
EEFT,2025-10-21,96.204,96.32,83.96137,83.96137,0.0,11,4.2668,12.2426
EEFT,2025-10-22,96.263,96.381,83.965175,83.965175,0.0,11,4.2694,12.2978
EEFT,2025-10-23,93.978,94.097,83.907399,83.907399,0.0,11,4.2845,10.0706
EEFT,2025-10-24,93.835,93.96,83.962848,83.962848,0.0,11,4.2696,9.8722
EEFT,2025-10-27,93.382,93.509,84.001265,84.001265,0.0,11,4.2661,9.3807
