ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,n_cashflows,effective_discount_rate,premium_to_floor
MTH,2024-05-07,103.771,103.771,87.276494,87.276494,0.0,9,5.6205,16.4945
MTH,2024-05-08,104.163,104.167,87.242153,87.242153,0.0,9,5.6312,16.9208
MTH,2024-05-09,104.331,104.35,87.291917,87.291917,0.0,9,5.6248,17.0391
MTH,2024-05-10,103.73,103.754,87.201602,87.201602,0.0,9,5.6575,16.5284
MTH,2024-05-13,104.392,104.421,87.214519,87.214519,0.0,9,5.6686,17.1775
MTH,2024-05-14,104.232,104.266,87.32075,87.32075,0.0,9,5.645,16.9112
MTH,2024-05-15,105.524,105.563,87.598103,87.598103,0.0,9,5.5675,17.9259
MTH,2024-05-16,105.418,105.471,87.585429,87.585429,0.0,9,5.5799,17.8326
MTH,2024-05-17,104.568,104.626,87.515274,87.515274,0.0,9,5.6016,17.0527
MTH,2024-05-20,104.391,104.454,87.518246,87.518246,0.0,9,5.6121,16.8728
MTH,2024-05-21,103.923,103.991,87.536724,87.536724,0.0,9,5.6118,16.3863
MTH,2024-05-22,102.023,102.096,87.491076,87.491076,0.0,9,5.6322,14.5319
MTH,2024-05-23,101.404,101.496,87.316188,87.316188,0.0,9,5.6844,14.0878
MTH,2024-05-24,102.105,102.203,87.269646,87.269646,0.0,9,5.6978,14.8354
MTH,2024-05-28,100.984,101.082,87.246594,87.246594,0.0,9,5.7165,13.7374
MTH,2024-05-29,100.73,100.832,87.069326,87.069326,0.0,9,5.7539,13.6607
MTH,2024-05-30,101.431,101.538,87.214158,87.214158,0.0,9,5.7142,14.2168
MTH,2024-05-31,102.326,102.442,87.349171,87.349171,0.0,9,5.6813,14.9768
MTH,2024-06-03,102.773,102.894,87.62717,87.62717,0.0,9,5.6276,15.1458
MTH,2024-06-04,101.902,102.028,87.799521,87.799521,0.0,9,5.5944,14.1025
MTH,2024-06-05,102.789,102.921,87.956437,87.956437,0.0,9,5.5578,14.8326
MTH,2024-06-06,102.871,103.007,88.009616,88.009616,0.0,9,5.5508,14.8614
MTH,2024-06-07,100.59,100.741,87.69041,87.69041,0.0,9,5.6436,12.8996
MTH,2024-06-10,100.61,100.765,87.57082,87.57082,0.0,9,5.6774,13.0392
MTH,2024-06-11,99.854,100.015,87.729682,87.729682,0.0,9,5.6443,12.1243
MTH,2024-06-12,101.419,101.584,87.964448,87.964448,0.0,9,5.5841,13.4546
MTH,2024-06-13,100.897,101.067,88.146694,88.146694,0.0,9,5.5412,12.7503
MTH,2024-06-14,99.981,100.165,88.174839,88.174839,0.0,9,5.5431,11.8062
MTH,2024-06-17,100.843,101.032,88.034759,88.034759,0.0,9,5.6009,12.8082
MTH,2024-06-18,100.56,100.76,88.153168,88.153168,0.0,9,5.573,12.4068
MTH,2024-06-20,99.907,100.111,88.106543,88.106543,0.0,9,5.5956,11.8005
MTH,2024-06-21,100.22,100.439,88.110604,88.110604,0.0,9,5.595,12.1094
MTH,2024-06-24,100.314,100.537,88.170656,88.170656,0.0,9,5.5877,12.1433
MTH,2024-06-25,99.952,100.18,88.143709,88.143709,0.0,9,5.6065,11.8083
MTH,2024-06-26,99.947,100.181,88.005497,88.005497,0.0,9,5.6434,11.9415
MTH,2024-06-27,100.283,100.521,88.058869,88.058869,0.0,9,5.6251,12.2241
MTH,2024-06-28,100.743,100.995,87.991219,87.991219,0.0,9,5.6419,12.7518
MTH,2024-07-01,98.371,98.629,87.884455,87.884455,0.0,9,5.6572,10.4865
MTH,2024-07-02,98.001,98.263,87.999965,87.999965,0.0,9,5.6236,10.001
MTH,2024-07-03,98.097,98.369,88.196833,88.196833,0.0,9,5.57,9.9002
MTH,2024-07-08,97.774,98.066,88.593989,88.593989,0.0,9,5.4895,9.18
MTH,2024-07-09,98.082,98.378,88.549156,88.549156,0.0,9,5.5119,9.5328
MTH,2024-07-10,98.655,98.956,88.580942,88.580942,0.0,9,5.4979,10.0741
MTH,2024-07-11,102.684,102.99,88.884734,88.884734,0.0,9,5.4034,13.7993
MTH,2024-07-12,103.661,103.982,89.072457,89.072457,0.0,9,5.347,14.5885
MTH,2024-07-15,104.318,104.643,89.06661,89.06661,0.0,9,5.3513,15.2514
MTH,2024-07-16,106.74,107.071,89.188762,89.188762,0.0,9,5.327,17.5512
MTH,2024-07-17,107.661,107.996,89.222236,89.222236,0.0,9,5.3305,18.4388
MTH,2024-07-18,108.14,108.48,89.146332,89.146332,0.0,9,5.3536,18.9937
MTH,2024-07-19,107.07,107.425,89.049927,89.049927,0.0,9,5.3801,18.0201
MTH,2024-07-23,109.264,109.629,89.097621,89.097621,0.0,9,5.3772,20.1664
MTH,2024-07-24,107.391,107.76,89.071483,89.071483,0.0,9,5.3796,18.3195
MTH,2024-07-26,109.397,109.786,89.253028,89.253028,0.0,9,5.3335,20.144
MTH,2024-07-29,109.345,109.739,89.361563,89.361563,0.0,9,5.3269,19.9834
MTH,2024-07-30,110.628,111.026,89.41967,89.41967,0.0,9,5.3133,21.2083
MTH,2024-07-31,110.81,111.209,89.626205,89.626205,0.0,9,5.2518,21.1838
MTH,2024-08-01,110.848,111.251,89.840317,89.840317,0.0,9,5.1854,21.0077
MTH,2024-08-02,108.135,108.553,90.361844,90.361844,0.0,9,5.0162,17.7732
MTH,2024-08-05,106.018,106.441,90.353823,90.353823,0.0,9,5.0566,15.6642
MTH,2024-08-06,107.055,107.483,90.269927,90.269927,0.0,9,5.0909,16.7851
MTH,2024-08-07,106.981,107.414,90.155849,90.155849,0.0,9,5.0859,16.8252
MTH,2024-08-08,104.75,105.188,90.108872,90.108872,0.0,9,5.1052,14.6411
MTH,2024-08-09,106.0,106.452,90.171322,90.171322,0.0,9,5.0964,15.8287
MTH,2024-08-13,106.031,106.492,90.547717,90.547717,0.0,9,5.0017,15.4833
MTH,2024-08-14,105.287,105.753,90.678876,90.678876,0.0,9,4.9813,14.6081
MTH,2024-08-15,106.086,106.557,90.509593,90.509593,0.0,9,5.0417,15.5764
MTH,2024-08-16,105.75,106.236,90.540632,90.540632,0.0,9,5.0201,15.2094
MTH,2024-08-19,107.717,108.208,90.638841,90.638841,0.0,9,5.0126,17.0782
MTH,2024-08-20,107.268,107.764,90.734059,90.734059,0.0,9,4.9792,16.5339
MTH,2024-08-21,109.143,109.644,90.946322,90.946322,0.0,9,4.9205,18.1967
MTH,2024-08-22,108.934,109.44,90.821309,90.821309,0.0,9,4.9681,18.1127
MTH,2024-08-23,112.034,112.554,91.022674,91.022674,0.0,9,4.8952,21.0113
MTH,2024-08-26,112.4,112.925,91.058688,91.058688,0.0,9,4.9072,21.3413
MTH,2024-08-27,110.955,111.485,91.088591,91.088591,0.0,9,4.8924,19.8664
MTH,2024-08-28,110.379,110.913,91.098412,91.098412,0.0,9,4.8958,19.2806
MTH,2024-08-29,109.875,110.415,91.039713,91.039713,0.0,9,4.9161,18.8353
