ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,n_cashflows,effective_discount_rate,premium_to_floor
NEE,2024-02-28,100.078,100.078,93.663095,93.663095,0.0,7,5.6289,6.4149
NEE,2024-02-29,100.287,100.312,93.683738,93.683738,0.0,7,5.6315,6.6033
NEE,2024-03-01,100.593,100.626,93.872802,93.872802,0.0,7,5.5759,6.7202
NEE,2024-03-04,99.91,99.952,93.867046,93.867046,0.0,7,5.6015,6.043
NEE,2024-03-05,100.519,100.569,93.983124,93.983124,0.0,7,5.5652,6.5359
NEE,2024-03-06,100.618,100.676,94.028097,94.028097,0.0,7,5.5649,6.5899
NEE,2024-03-07,101.0,101.083,94.145946,94.145946,0.0,7,5.5278,6.8541
NEE,2024-03-08,102.407,102.499,94.228669,94.228669,0.0,7,5.5051,8.1783
NEE,2024-03-11,102.489,102.589,94.225663,94.225663,0.0,7,5.5271,8.2633
NEE,2024-03-12,102.329,102.438,94.140207,94.140207,0.0,7,5.5581,8.1888
NEE,2024-03-13,103.957,104.073,94.089937,94.089937,0.0,7,5.5822,9.8671
NEE,2024-03-14,104.1,104.242,93.935324,93.935324,0.0,7,5.6285,10.1647
NEE,2024-03-15,103.875,104.025,93.905965,93.905965,0.0,7,5.6303,9.969
NEE,2024-03-18,104.345,104.503,93.876939,93.876939,0.0,7,5.6549,10.4681
NEE,2024-03-19,105.181,105.347,93.949061,93.949061,0.0,7,5.6428,11.2319
NEE,2024-03-20,105.952,106.127,94.076827,94.076827,0.0,7,5.5796,11.8752
NEE,2024-03-21,105.196,105.396,94.144463,94.144463,0.0,7,5.5648,11.0515
NEE,2024-03-22,105.619,105.827,94.26601,94.26601,0.0,7,5.5267,11.353
NEE,2024-03-25,105.986,106.202,94.219328,94.219328,0.0,7,5.5558,11.7667
NEE,2024-03-26,105.618,105.843,94.201987,94.201987,0.0,7,5.5784,11.416
NEE,2024-03-27,107.042,107.292,94.302625,94.302625,0.0,7,5.5541,12.7394
NEE,2024-03-28,107.114,107.373,94.260345,94.260345,0.0,7,5.5822,12.8537
NEE,2024-04-01,106.724,106.991,94.085185,94.085185,0.0,7,5.6461,12.6388
NEE,2024-04-02,106.1,106.375,94.046379,94.046379,0.0,7,5.6492,12.0536
NEE,2024-04-03,105.933,106.217,94.130927,94.130927,0.0,7,5.6202,11.8021
NEE,2024-04-04,106.7,107.008,94.168885,94.168885,0.0,7,5.6108,12.5311
NEE,2024-04-05,107.387,107.703,94.066166,94.066166,0.0,7,5.657,13.3208
NEE,2024-04-08,107.77,108.095,94.046001,94.046001,0.0,7,5.6723,13.724
NEE,2024-04-09,108.405,108.738,94.12638,94.12638,0.0,7,5.6411,14.2786
NEE,2024-04-10,107.13,107.472,93.725241,93.725241,0.0,7,5.8015,13.4048
NEE,2024-04-11,107.128,107.495,93.666725,93.666725,0.0,7,5.8042,13.4613
NEE,2024-04-12,107.304,107.679,93.723557,93.723557,0.0,7,5.7932,13.5804
NEE,2024-04-15,106.046,106.429,93.57593,93.57593,0.0,7,5.8568,12.4701
NEE,2024-04-16,104.96,105.351,93.466391,93.466391,0.0,7,5.8962,11.4936
NEE,2024-04-17,106.533,106.933,93.549478,93.549478,0.0,7,5.8728,12.9835
NEE,2024-04-18,106.519,106.944,93.507349,93.507349,0.0,7,5.8906,13.0117
NEE,2024-04-19,107.269,107.703,93.53286,93.53286,0.0,7,5.8864,13.7361
NEE,2024-04-22,107.827,108.268,93.605345,93.605345,0.0,7,5.8751,14.2217
NEE,2024-04-23,108.6,109.05,93.72569,93.72569,0.0,7,5.8315,14.8743
NEE,2024-04-24,109.106,109.565,93.688912,93.688912,0.0,7,5.8569,15.4171
NEE,2024-04-25,107.871,108.355,93.607728,93.607728,0.0,7,5.8884,14.2633
NEE,2024-04-26,108.64,109.131,93.671892,93.671892,0.0,7,5.869,14.9681
NEE,2024-04-30,109.311,109.82,93.67287,93.67287,0.0,7,5.9019,15.6381
NEE,2024-05-01,110.589,111.105,93.744472,93.744472,0.0,7,5.8762,16.8445
NEE,2024-05-02,110.25,110.792,93.941886,93.941886,0.0,7,5.8139,16.3081
NEE,2024-05-03,112.539,113.089,94.162262,94.162262,0.0,7,5.7448,18.3767
NEE,2024-05-06,113.026,113.584,94.262675,94.262675,0.0,7,5.7264,18.7633
NEE,2024-05-07,113.791,114.357,94.276643,94.276643,0.0,7,5.741,19.5144
NEE,2024-05-08,114.637,115.212,94.258074,94.258074,0.0,7,5.7498,20.3789
NEE,2024-05-09,116.83,117.43,94.297082,94.297082,0.0,7,5.746,22.5329
NEE,2024-05-10,115.927,116.536,94.23591,94.23591,0.0,7,5.779,21.6911
NEE,2024-05-13,116.913,117.529,94.255058,94.255058,0.0,7,5.7916,22.6579
NEE,2024-05-14,117.693,118.318,94.334509,94.334509,0.0,7,5.7705,23.3585
NEE,2024-05-15,119.872,120.505,94.533703,94.533703,0.0,7,5.6951,25.3383
NEE,2024-05-16,120.115,120.773,94.525834,94.525834,0.0,7,5.7098,25.5892
NEE,2024-05-17,119.301,119.968,94.479017,94.479017,0.0,7,5.7295,24.822
NEE,2024-05-20,119.321,119.996,94.49447,94.49447,0.0,7,5.7398,24.8265
NEE,2024-05-21,120.062,120.745,94.507119,94.507119,0.0,7,5.7402,25.5549
NEE,2024-05-22,119.585,120.277,94.471263,94.471263,0.0,7,5.7615,25.1137
NEE,2024-05-23,118.023,118.748,94.35032,94.35032,0.0,7,5.8105,23.6727
NEE,2024-05-24,119.61,120.343,94.317904,94.317904,0.0,7,5.8212,25.2921
NEE,2024-05-28,120.377,121.11,94.322267,94.322267,0.0,7,5.8376,26.0547
NEE,2024-05-29,119.33,120.072,94.218583,94.218583,0.0,7,5.8644,25.1114
NEE,2024-05-30,121.156,121.906,94.33197,94.33197,0.0,7,5.8257,26.824
NEE,2024-06-03,121.37,122.145,94.624515,94.624515,0.0,7,5.7542,26.7455
NEE,2024-06-04,120.85,121.633,94.736847,94.736847,0.0,7,5.7292,26.1132
NEE,2024-06-05,120.564,121.356,94.846652,94.846652,0.0,7,5.6966,25.7173
NEE,2024-06-06,120.375,121.175,94.884193,94.884193,0.0,7,5.6923,25.4908
NEE,2024-06-07,119.456,120.281,94.664777,94.664777,0.0,7,5.7797,24.7912
NEE,2024-06-10,120.31,121.143,94.60523,94.60523,0.0,7,5.8058,25.7048
NEE,2024-06-11,116.087,116.929,94.717984,94.717984,0.0,7,5.7791,21.369
NEE,2024-06-12,116.175,117.025,94.882438,94.882438,0.0,7,5.7236,21.2926
NEE,2024-06-13,117.256,118.114,95.007687,95.007687,0.0,7,5.6857,22.2483
NEE,2024-06-14,116.63,117.513,95.02311,95.02311,0.0,7,5.6908,21.6069
NEE,2024-06-17,116.149,117.041,94.933518,94.933518,0.0,7,5.7494,21.2155
NEE,2024-06-18,113.954,114.862,95.019052,95.019052,0.0,7,5.7242,18.9349
NEE,2024-06-20,115.485,116.402,94.996158,94.996158,0.0,7,5.7469,20.4888
NEE,2024-06-21,116.519,117.46,95.006409,95.006409,0.0,7,5.7447,21.5126
NEE,2024-06-24,117.606,118.556,95.062938,95.062938,0.0,7,5.7374,22.5431
NEE,2024-06-25,116.45,117.408,95.044226,95.044226,0.0,7,5.7591,21.4058
NEE,2024-06-26,116.71,117.677,94.959117,94.959117,0.0,7,5.7907,21.7509
NEE,2024-06-27,117.45,118.425,95.004237,95.004237,0.0,7,5.7699,22.4458
NEE,2024-06-28,113.854,114.854,94.974156,94.974156,0.0,7,5.7827,18.8798
NEE,2024-07-01,113.51,114.518,94.941021,94.941021,0.0,7,5.7834,18.569
NEE,2024-07-02,114.058,115.075,95.036193,95.036193,0.0,7,5.7495,19.0218
NEE,2024-07-10,116.43,117.513,95.478599,95.478599,0.0,7,5.6376,20.9514
NEE,2024-07-11,118.723,119.815,95.703307,95.703307,0.0,7,5.5424,23.0197
NEE,2024-07-12,119.757,120.874,95.850646,95.850646,0.0,7,5.486,23.9064
NEE,2024-07-15,116.411,117.536,95.876619,95.876619,0.0,7,5.4863,20.5344
NEE,2024-07-16,115.948,117.082,95.967166,95.967166,0.0,7,5.4673,19.9808
NEE,2024-07-18,115.549,116.699,95.947645,95.947645,0.0,7,5.4965,19.6014
NEE,2024-07-19,115.715,116.89,95.892508,95.892508,0.0,7,5.5191,19.8225
NEE,2024-07-22,116.91,118.093,95.897762,95.897762,0.0,7,5.5326,21.0122
NEE,2024-07-23,116.119,117.31,95.9543,95.9543,0.0,7,5.5148,20.1647
NEE,2024-07-24,117.011,118.211,95.955058,95.955058,0.0,7,5.5127,21.0559
NEE,2024-07-25,117.586,118.794,95.964064,95.964064,0.0,7,5.5124,21.6219
NEE,2024-07-26,118.709,119.942,96.089559,96.089559,0.0,7,5.4687,22.6194
NEE,2024-07-29,118.425,119.667,96.172594,96.172594,0.0,7,5.4699,22.2524
NEE,2024-07-30,118.277,119.527,96.214782,96.214782,0.0,7,5.4568,22.0622
NEE,2024-07-31,120.908,122.158,96.353432,96.353432,0.0,7,5.3975,24.5546
NEE,2024-08-01,122.939,124.197,96.503887,96.503887,0.0,7,5.3304,26.4351
NEE,2024-08-05,121.409,122.701,96.889399,96.889399,0.0,7,5.2119,24.5196
NEE,2024-08-06,122.3,123.6,96.84922,96.84922,0.0,7,5.2481,25.4508
NEE,2024-08-07,122.253,123.562,96.795725,96.795725,0.0,7,5.222,25.4573
NEE,2024-08-08,122.289,123.606,96.77962,96.77962,0.0,7,5.2417,25.5094
NEE,2024-08-12,121.9,123.25,96.913588,96.913588,0.0,7,5.2265,24.9864
NEE,2024-08-13,123.043,124.401,97.092172,97.092172,0.0,7,5.1468,25.9508
NEE,2024-08-15,122.274,123.649,97.066199,97.066199,0.0,7,5.1961,25.2078
NEE,2024-08-19,124.273,125.681,97.164065,97.164065,0.0,7,5.1658,27.1089
NEE,2024-08-20,123.831,125.248,97.231549,97.231549,0.0,7,5.1293,26.5995
NEE,2024-08-21,124.51,125.935,97.388332,97.388332,0.0,7,5.0733,27.1217
NEE,2024-08-22,123.8,125.233,97.310841,97.310841,0.0,7,5.1227,26.4892
NEE,2024-08-23,124.675,126.134,97.461062,97.461062,0.0,7,5.0442,27.2139
NEE,2024-08-26,125.325,126.792,97.502758,97.502758,0.0,7,5.0622,27.8222
NEE,2024-08-27,124.687,126.162,97.539071,97.539071,0.0,7,5.0433,27.1479
NEE,2024-08-28,124.221,125.705,97.557976,97.557976,0.0,7,5.0482,26.663
NEE,2024-08-29,125.145,126.637,97.526274,97.526274,0.0,7,5.0673,27.6187
NEE,2024-08-30,125.561,125.578,97.510294,97.510294,0.0,7,5.064,28.0507
NEE,2024-09-03,125.93,125.955,96.030895,96.047561,0.016667,6,5.0216,29.8991
NEE,2024-09-04,126.708,126.741,96.211457,96.236457,0.025,6,4.9175,30.4965
