ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,n_cashflows,effective_discount_rate,premium_to_floor
PPL1,2025-11-20,100.3,100.3,93.415013,93.415013,0.0,11,4.447,6.885
PPL1,2025-11-21,100.734,100.734,93.569342,93.569342,0.0,11,4.4162,7.1647
PPL1,2025-11-24,101.195,101.203,93.734207,93.734207,0.0,11,4.3911,7.4608
PPL1,2025-11-25,101.452,101.469,93.955544,93.955544,0.0,11,4.3469,7.4965
PPL1,2025-11-26,101.803,101.837,94.023744,94.023744,0.0,11,4.3337,7.7793
PPL1,2025-11-28,102.0,102.058,94.012409,94.012409,0.0,11,4.3376,7.9876
PPL1,2025-12-01,101.25,101.316,93.829326,93.829326,0.0,11,4.3739,7.4207
PPL1,2025-12-02,100.273,100.348,93.874496,93.874496,0.0,11,4.3572,6.3985
PPL1,2025-12-03,99.802,99.885,93.983811,93.983811,0.0,11,4.334,5.8182
PPL1,2025-12-04,99.346,99.438,93.873144,93.873144,0.0,11,4.3564,5.4729
PPL1,2025-12-05,99.198,99.315,93.791743,93.791743,0.0,11,4.3713,5.4063
PPL1,2025-12-08,99.044,99.169,93.687956,93.687956,0.0,11,4.3979,5.356
PPL1,2025-12-09,99.036,99.169,93.600282,93.600282,0.0,11,4.4212,5.4357
PPL1,2025-12-10,98.918,99.059,93.775992,93.775992,0.0,11,4.3709,5.142
PPL1,2025-12-11,98.875,99.025,93.822395,93.822395,0.0,11,4.3646,5.0526
PPL1,2025-12-12,99.473,99.648,93.694511,93.694511,0.0,11,4.3784,5.7785
PPL1,2025-12-15,99.629,99.812,93.720508,93.720508,0.0,11,4.378,5.9085
PPL1,2025-12-16,99.466,99.657,93.853898,93.853898,0.0,11,4.3546,5.6121
PPL1,2025-12-17,99.732,99.932,93.87439,93.87439,0.0,11,4.35,5.8576
PPL1,2025-12-18,100.066,100.274,93.992249,93.992249,0.0,11,4.3267,6.0738
PPL1,2025-12-22,99.945,100.187,93.937955,93.937955,0.0,11,4.3506,6.007
PPL1,2025-12-23,99.81,100.06,93.883099,93.883099,0.0,11,4.3649,5.9269
PPL1,2025-12-26,100.16,100.452,94.122184,94.122184,0.0,11,4.316,6.0378
PPL1,2026-01-02,100.259,100.601,94.008863,94.008863,0.0,11,4.3432,6.2501
PPL1,2026-01-05,100.046,100.396,94.120239,94.120239,0.0,11,4.3268,5.9258
PPL1,2026-01-06,100.184,100.542,94.149942,94.149942,0.0,11,4.3212,6.0341
PPL1,2026-01-07,99.927,100.294,94.190658,94.190658,0.0,11,4.3218,5.7363
PPL1,2026-01-08,100.125,100.5,94.091315,94.091315,0.0,11,4.3419,6.0337
PPL1,2026-01-09,100.003,100.403,94.071838,94.071838,0.0,11,4.3531,5.9312
PPL1,2026-01-13,100.169,100.586,94.152003,94.152003,0.0,11,4.348,6.017
PPL1,2026-01-14,100.792,101.217,94.259233,94.259233,0.0,11,4.3331,6.5328
PPL1,2026-01-15,101.089,101.522,94.194496,94.194496,0.0,11,4.3538,6.8945
PPL1,2026-01-16,102.155,102.621,94.05691,94.05691,0.0,11,4.3781,8.0981
PPL1,2026-01-20,101.984,102.459,93.938209,93.938209,0.0,11,4.3997,8.0458
PPL1,2026-01-21,102.113,102.597,94.092086,94.092086,0.0,11,4.368,8.0209
PPL1,2026-01-22,101.936,102.428,94.111645,94.111645,0.0,11,4.3643,7.8244
PPL1,2026-01-23,100.996,101.513,94.116227,94.116227,0.0,11,4.3663,6.8798
PPL1,2026-01-28,101.888,102.43,94.215637,94.215637,0.0,11,4.3517,7.6724
PPL1,2026-01-29,101.491,102.041,94.240146,94.240146,0.0,11,4.3524,7.2509
PPL1,2026-01-30,101.289,101.856,94.301533,94.301533,0.0,11,4.3334,6.9875
PPL1,2026-02-03,100.537,101.121,94.21865,94.21865,0.0,11,4.3565,6.3184
PPL1,2026-02-04,100.266,100.857,94.21099,94.21099,0.0,11,4.3582,6.055
PPL1,2026-02-05,100.706,101.306,94.43997,94.43997,0.0,11,4.306,6.266
PPL1,2026-02-06,101.224,101.849,94.467127,94.467127,0.0,11,4.31,6.7569
PPL1,2026-02-10,101.952,102.594,94.6349,94.6349,0.0,11,4.2849,7.3171
PPL1,2026-02-11,101.41,102.06,94.611415,94.611415,0.0,11,4.3028,6.7986
PPL1,2026-02-12,102.195,102.853,94.746489,94.746489,0.0,11,4.2869,7.4485
PPL1,2026-02-17,103.426,104.126,94.952671,94.952671,0.0,11,4.2786,8.4733
PPL1,2026-02-18,102.677,103.385,94.965517,94.965517,0.0,11,4.2764,7.7115
PPL1,2026-02-19,102.899,103.615,94.963249,94.963249,0.0,11,4.2827,7.9358
PPL1,2026-02-20,103.402,104.144,94.949461,94.949461,0.0,11,4.2931,8.4525
PPL1,2026-02-23,102.81,103.56,95.067209,95.067209,0.0,11,4.2847,7.7428
PPL1,2026-02-24,104.055,104.813,95.023635,95.023635,0.0,11,4.3025,9.0314
