ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,n_cashflows,effective_discount_rate,premium_to_floor
REXR1,2024-03-27,101.422,101.459,97.904474,97.904474,0.0,7,5.5457,3.5175
REXR1,2024-03-28,101.775,101.824,97.860709,97.860709,0.0,7,5.5736,3.9143
REXR1,2024-03-29,101.891,101.94,97.873092,97.873092,0.0,7,5.5742,4.0179
REXR1,2024-04-01,100.943,101.004,97.679179,97.679179,0.0,7,5.6382,3.2638
REXR1,2024-04-02,100.738,100.81,97.638925,97.638925,0.0,7,5.6417,3.0991
REXR1,2024-04-03,100.826,100.911,97.726312,97.726312,0.0,7,5.6128,3.0997
REXR1,2024-04-04,100.52,100.642,97.765823,97.765823,0.0,7,5.6034,2.7542
REXR1,2024-04-05,100.844,100.977,97.658988,97.658988,0.0,7,5.6496,3.185
REXR1,2024-04-08,100.848,100.994,97.638136,97.638136,0.0,7,5.6651,3.2099
REXR1,2024-04-09,101.13,101.288,97.721938,97.721938,0.0,7,5.6341,3.4081
REXR1,2024-04-10,100.34,100.511,97.305412,97.305412,0.0,7,5.7947,3.0346
REXR1,2024-04-11,100.479,100.686,97.245377,97.245377,0.0,7,5.7982,3.2336
REXR1,2024-04-12,99.661,99.879,97.304374,97.304374,0.0,7,5.787,2.3566
REXR1,2024-04-15,98.456,98.687,97.151134,97.151134,0.0,7,5.8511,1.3049
REXR1,2024-04-16,98.391,98.634,97.037402,97.037402,0.0,7,5.8908,1.3536
REXR1,2024-04-17,96.954,97.209,97.123792,97.123792,0.0,7,5.8673,-0.1698
REXR1,2024-04-18,97.762,98.054,97.080005,97.080005,0.0,7,5.8851,0.682
REXR1,2024-04-19,97.611,97.915,97.106551,97.106551,0.0,7,5.881,0.5044
REXR1,2024-04-22,97.551,97.867,97.181634,97.181634,0.0,7,5.8696,0.3694
REXR1,2024-04-23,97.82,98.148,97.306507,97.306507,0.0,7,5.8261,0.5135
REXR1,2024-04-24,96.988,97.329,97.267993,97.267993,0.0,7,5.8513,-0.28
REXR1,2024-04-25,97.389,97.766,97.183692,97.183692,0.0,7,5.883,0.2053
REXR1,2024-04-26,97.381,97.77,97.250296,97.250296,0.0,7,5.8636,0.1307
REXR1,2024-04-29,97.64,98.041,97.352709,97.352709,0.0,7,5.8506,0.2873
REXR1,2024-04-30,97.3,97.713,97.251275,97.251275,0.0,7,5.8962,0.0487
REXR1,2024-05-01,97.12,97.545,97.326066,97.326066,0.0,7,5.8705,-0.2061
REXR1,2024-05-02,97.81,98.272,97.530615,97.530615,0.0,7,5.8079,0.2794
REXR1,2024-05-03,98.584,99.058,97.759133,97.759133,0.0,7,5.7383,0.8249
REXR1,2024-05-06,98.495,98.981,97.863415,97.863415,0.0,7,5.7197,0.6316
REXR1,2024-05-07,98.886,99.384,97.877795,97.877795,0.0,7,5.7339,1.0082
REXR1,2024-05-08,98.764,99.275,97.858598,97.858598,0.0,7,5.7429,0.9054
REXR1,2024-05-09,98.916,99.463,97.89904,97.89904,0.0,7,5.7388,1.017
REXR1,2024-05-10,98.737,99.296,97.83543,97.83543,0.0,7,5.7718,0.9016
REXR1,2024-05-13,98.599,99.17,97.855357,97.855357,0.0,7,5.7843,0.7436
REXR1,2024-05-14,98.886,99.469,97.937771,97.937771,0.0,7,5.7631,0.9482
REXR1,2024-05-15,99.248,99.843,98.14496,98.14496,0.0,7,5.6876,1.103
REXR1,2024-05-16,99.282,99.914,98.136674,98.136674,0.0,7,5.7021,1.1453
REXR1,2024-05-17,99.456,100.101,98.088199,98.088199,0.0,7,5.7219,1.3678
REXR1,2024-05-20,99.323,99.979,98.104179,98.104179,0.0,7,5.7323,1.2188
REXR1,2024-05-21,99.121,99.789,98.117516,98.117516,0.0,7,5.7326,1.0035
REXR1,2024-05-22,98.896,99.577,98.08042,98.08042,0.0,7,5.754,0.8156
REXR1,2024-05-23,98.264,98.993,97.954935,97.954935,0.0,7,5.8033,0.3091
REXR1,2024-05-24,97.938,98.679,97.921619,97.921619,0.0,7,5.8141,0.0164
REXR1,2024-05-27,97.957,98.698,97.962391,97.962391,0.0,7,5.8122,-0.0054
REXR1,2024-05-28,97.953,98.694,97.926079,97.926079,0.0,7,5.8307,0.0269
REXR1,2024-05-29,98.083,98.836,97.818425,97.818425,0.0,7,5.8582,0.2646
REXR1,2024-05-30,98.316,99.082,97.93591,97.93591,0.0,7,5.8194,0.3801
REXR1,2024-05-31,98.717,99.507,98.035382,98.035382,0.0,7,5.7909,0.6816
REXR1,2024-06-03,98.422,99.224,98.239447,98.239447,0.0,7,5.7469,0.1826
REXR1,2024-06-04,98.239,99.054,98.356285,98.356285,0.0,7,5.7214,-0.1173
REXR1,2024-06-05,98.364,99.19,98.470403,98.470403,0.0,7,5.6886,-0.1064
REXR1,2024-06-06,98.529,99.368,98.509478,98.509478,0.0,7,5.6842,0.0195
REXR1,2024-06-07,98.292,99.167,98.281663,98.281663,0.0,7,5.7718,0.0103
REXR1,2024-06-10,98.385,99.272,98.219884,98.219884,0.0,7,5.7984,0.1651
REXR1,2024-06-11,98.331,99.23,98.336684,98.336684,0.0,7,5.7714,-0.0057
REXR1,2024-06-12,98.815,99.726,98.507568,98.507568,0.0,7,5.7155,0.3074
REXR1,2024-06-13,98.433,99.356,98.637865,98.637865,0.0,7,5.6773,-0.2049
REXR1,2024-06-14,98.595,99.555,98.654154,98.654154,0.0,7,5.6823,-0.0592
REXR1,2024-06-17,98.651,99.623,98.561134,98.561134,0.0,7,5.7409,0.0899
REXR1,2024-06-18,98.228,99.225,98.649926,98.649926,0.0,7,5.7155,-0.4219
REXR1,2024-06-19,98.231,99.228,98.662878,98.662878,0.0,7,5.7161,-0.4319
REXR1,2024-06-20,98.429,99.438,98.626111,98.626111,0.0,7,5.7381,-0.1971
REXR1,2024-06-21,98.578,99.623,98.636756,98.636756,0.0,7,5.7361,-0.0588
REXR1,2024-06-24,98.57,99.627,98.69543,98.69543,0.0,7,5.7287,-0.1254
REXR1,2024-06-25,98.308,99.378,98.675968,98.675968,0.0,7,5.7503,-0.368
REXR1,2024-06-26,98.174,99.256,98.587539,98.587539,0.0,7,5.7822,-0.4135
REXR1,2024-06-27,98.421,99.514,98.634509,98.634509,0.0,7,5.7616,-0.2135
REXR1,2024-06-28,98.637,99.768,98.602967,98.602967,0.0,7,5.7746,0.034
