ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,n_cashflows,effective_discount_rate,premium_to_floor
WEC2,2024-05-23,99.742,99.742,96.082869,96.082869,0.0,11,5.6026,3.6591
WEC2,2024-05-24,99.789,99.801,96.025369,96.025369,0.0,11,5.6168,3.7636
WEC2,2024-05-28,99.311,99.323,95.984528,95.984528,0.0,11,5.6366,3.3265
WEC2,2024-05-29,98.974,98.998,95.725458,95.725458,0.0,11,5.6805,3.2485
WEC2,2024-05-30,99.221,99.257,95.908107,95.908107,0.0,11,5.6406,3.3129
WEC2,2024-05-31,99.962,100.023,96.085612,96.085612,0.0,11,5.6055,3.8764
WEC2,2024-06-03,100.011,100.084,96.462692,96.462692,0.0,11,5.5458,3.5483
WEC2,2024-06-04,100.314,100.399,96.704718,96.704718,0.0,11,5.5079,3.6093
WEC2,2024-06-05,99.984,100.081,96.916667,96.916667,0.0,11,5.4688,3.0673
WEC2,2024-06-06,99.757,99.866,96.988492,96.988492,0.0,11,5.4603,2.7685
WEC2,2024-06-07,99.483,99.629,96.559624,96.559624,0.0,11,5.5561,2.9234
WEC2,2024-06-11,99.568,99.738,96.590179,96.590179,0.0,11,5.558,2.9778
WEC2,2024-06-12,99.685,99.868,96.906062,96.906062,0.0,11,5.495,2.7789
WEC2,2024-06-13,99.477,99.671,97.152802,97.152802,0.0,11,5.4492,2.3242
WEC2,2024-06-14,99.55,99.781,97.196297,97.196297,0.0,11,5.4491,2.3537
WEC2,2024-06-17,99.613,99.856,97.004725,97.004725,0.0,11,5.5065,2.6083
WEC2,2024-06-18,99.483,99.75,97.161925,97.161925,0.0,11,5.4771,2.3211
WEC2,2024-06-20,99.641,99.921,97.091033,97.091033,0.0,11,5.5,2.55
WEC2,2024-06-21,99.559,99.875,97.090062,97.090062,0.0,11,5.5003,2.4689
WEC2,2024-06-24,99.904,100.232,97.160488,97.160488,0.0,11,5.4931,2.7435
WEC2,2024-06-25,99.556,99.896,97.124936,97.124936,0.0,11,5.5104,2.4311
WEC2,2024-06-26,99.24,99.592,96.930054,96.930054,0.0,11,5.5502,2.3099
WEC2,2024-06-27,99.173,99.537,96.995217,96.995217,0.0,11,5.5333,2.1778
WEC2,2024-06-28,99.299,99.7,96.88556,96.88556,0.0,11,5.553,2.4134
WEC2,2024-07-01,99.049,99.462,96.700968,96.700968,0.0,11,5.5772,2.348
WEC2,2024-07-02,99.059,99.484,96.838517,96.838517,0.0,11,5.5444,2.2205
WEC2,2024-07-05,99.428,99.914,97.499126,97.499126,0.0,11,5.4114,1.9289
WEC2,2024-07-08,99.27,99.768,97.608644,97.608644,0.0,11,5.4031,1.6614
WEC2,2024-07-09,99.318,99.829,97.539074,97.539074,0.0,11,5.4251,1.7789
WEC2,2024-07-10,99.4,99.923,97.577557,97.577557,0.0,11,5.4129,1.8224
WEC2,2024-07-11,100.402,100.937,97.967755,97.967755,0.0,11,5.3191,2.4342
WEC2,2024-07-12,100.83,101.401,98.196976,98.196976,0.0,11,5.2637,2.633
WEC2,2024-07-16,100.873,101.469,98.30931,98.30931,0.0,11,5.2452,2.5637
WEC2,2024-07-17,101.546,102.154,98.350439,98.350439,0.0,11,5.2465,3.1956
WEC2,2024-07-19,101.234,101.89,98.099814,98.099814,0.0,11,5.3,3.1342
WEC2,2024-07-22,101.258,101.927,98.059764,98.059764,0.0,11,5.3159,3.1982
WEC2,2024-07-23,101.363,102.043,98.136435,98.136435,0.0,11,5.2988,3.2266
WEC2,2024-07-24,101.973,102.665,98.076552,98.076552,0.0,11,5.3047,3.8964
WEC2,2024-07-25,101.929,102.634,98.074502,98.074502,0.0,11,5.3061,3.8545
WEC2,2024-07-30,102.71,103.475,98.529279,98.529279,0.0,11,5.2331,4.1807
WEC2,2024-07-31,103.151,103.916,98.810154,98.810154,0.0,11,5.1701,4.3408
WEC2,2024-08-01,103.834,104.612,99.089517,99.089517,0.0,11,5.1041,4.7445
WEC2,2024-08-02,105.626,106.44,99.75439,99.75439,0.0,11,4.9378,5.8716
WEC2,2024-08-05,105.11,105.937,99.721749,99.721749,0.0,11,4.9733,5.3883
WEC2,2024-08-06,105.172,106.011,99.588318,99.588318,0.0,11,5.0079,5.5837
WEC2,2024-08-07,105.952,106.803,99.408467,99.408467,0.0,11,5.0142,6.5435
WEC2,2024-08-08,105.331,106.194,99.325704,99.325704,0.0,11,5.0344,6.0053
WEC2,2024-08-12,105.744,106.655,99.569498,99.569498,0.0,11,5.0052,6.1745
WEC2,2024-08-13,106.127,107.051,99.906869,99.906869,0.0,11,4.9263,6.2201
WEC2,2024-08-14,106.54,107.476,100.085447,100.085447,0.0,11,4.9016,6.4546
WEC2,2024-08-15,106.482,107.43,99.863286,99.863286,0.0,11,4.9612,6.6187
WEC2,2024-08-21,107.508,108.528,100.438235,100.438235,0.0,11,4.8402,7.0698
WEC2,2024-08-22,108.252,109.285,100.263016,100.263016,0.0,11,4.8873,7.989
WEC2,2024-08-23,108.708,109.778,100.519811,100.519811,0.0,11,4.8175,8.1882
WEC2,2024-08-26,108.726,109.808,100.551286,100.551286,0.0,11,4.8273,8.1747
WEC2,2024-08-27,107.726,108.819,100.572832,100.572832,0.0,11,4.8153,7.1532
WEC2,2024-08-28,108.618,109.724,100.571318,100.571318,0.0,11,4.8188,8.0467
WEC2,2024-08-29,108.549,109.667,100.483499,100.483499,0.0,11,4.84,8.0655
WEC2,2024-08-30,108.779,109.934,100.413368,100.413368,0.0,11,4.8469,8.3656
WEC2,2024-09-03,109.121,110.288,100.4729,100.4729,0.0,11,4.8459,8.6481
WEC2,2024-09-04,109.486,110.665,100.817488,100.817488,0.0,11,4.7495,8.6685
WEC2,2024-09-05,108.874,110.065,101.022873,101.022873,0.0,11,4.7085,7.8511
WEC2,2024-09-06,109.936,111.163,101.194248,101.194248,0.0,11,4.6526,8.7418
WEC2,2024-09-09,109.983,111.223,101.353261,101.353261,0.0,11,4.6353,8.6297
WEC2,2024-09-10,110.59,111.842,101.511195,101.511195,0.0,11,4.5968,9.0788
WEC2,2024-09-11,110.374,111.637,101.48888,101.48888,0.0,11,4.6213,8.8851
WEC2,2024-09-16,110.836,112.16,101.88687,101.88687,0.0,11,4.5037,8.9491
WEC2,2024-09-17,110.85,112.187,101.902045,101.902045,0.0,11,4.5063,8.948
WEC2,2024-09-18,110.5,111.849,101.818138,101.818138,0.0,11,4.5094,8.6819
WEC2,2024-09-19,109.708,111.069,101.840038,101.840038,0.0,11,4.4866,7.868
WEC2,2024-09-20,110.176,111.573,101.872421,101.872421,0.0,11,4.4775,8.3036
WEC2,2024-09-23,110.382,111.792,101.888907,101.888907,0.0,11,4.4732,8.4931
WEC2,2024-09-24,110.225,111.647,102.016495,102.016495,0.0,11,4.4369,8.2085
WEC2,2024-09-26,110.053,111.499,101.692129,101.692129,0.0,11,4.5232,8.3609
WEC2,2024-09-30,110.686,112.181,101.691778,101.691778,0.0,11,4.5375,8.9942
WEC2,2024-10-01,111.154,112.661,101.804606,101.804606,0.0,11,4.5174,9.3494
WEC2,2024-10-02,110.666,112.185,101.813238,101.813238,0.0,11,4.5084,8.8528
WEC2,2024-10-04,110.006,111.573,101.1046,101.1046,0.0,11,4.6827,8.9014
WEC2,2024-10-07,109.255,110.835,100.79006,100.79006,0.0,11,4.7619,8.4649
WEC2,2024-10-08,109.315,110.907,100.756703,100.756703,0.0,11,4.762,8.5583
WEC2,2024-10-09,108.83,110.434,100.657969,100.657969,0.0,11,4.7919,8.172
WEC2,2024-10-10,108.992,110.608,100.674108,100.674108,0.0,11,4.7767,8.3179
WEC2,2024-10-11,109.562,111.227,100.757936,100.757936,0.0,11,4.7571,8.8041
WEC2,2024-10-14,110.065,111.73,100.79549,100.79549,0.0,11,4.7577,9.2695
WEC2,2024-10-15,110.593,112.27,100.942556,100.942556,0.0,11,4.7322,9.6504
WEC2,2024-10-16,111.325,113.014,101.01968,101.01968,0.0,11,4.7211,10.3053
