ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,n_cashflows,effective_discount_rate,premium_to_floor
KRG,2021-03-19,99.054,99.056,92.699934,92.699934,0.0,13,1.5188,6.3541
KRG,2021-03-22,98.297,98.301,92.761437,92.761437,0.0,13,1.5142,5.5356
KRG,2021-03-23,97.077,97.083,92.901773,92.901773,0.0,13,1.4989,4.1752
KRG,2021-03-24,96.467,96.475,93.015775,93.015775,0.0,13,1.4859,3.4512
KRG,2021-03-25,98.138,98.153,92.920186,92.920186,0.0,13,1.507,5.2178
KRG,2021-03-26,99.01,99.027,92.96108,92.96108,0.0,13,1.4918,6.0489
KRG,2021-03-29,97.726,97.745,92.846714,92.846714,0.0,13,1.5018,4.8793
KRG,2021-03-30,99.337,99.355,92.828892,92.828892,0.0,13,1.4988,6.5081
KRG,2021-03-31,97.689,97.716,92.889819,92.889819,0.0,13,1.4813,4.7992
KRG,2021-04-01,98.631,98.66,93.097407,93.097407,0.0,13,1.4509,5.5336
KRG,2021-04-02,98.631,98.66,92.939902,92.939902,0.0,13,1.475,5.6911
KRG,2021-04-05,98.416,98.447,92.98995,92.98995,0.0,13,1.4693,5.4261
KRG,2021-04-06,99.728,99.761,93.167356,93.167356,0.0,13,1.4486,6.5606
KRG,2021-04-07,99.36,99.395,93.274499,93.274499,0.0,13,1.4316,6.0855
KRG,2021-04-08,98.709,98.75,93.424608,93.424608,0.0,13,1.415,5.2844
KRG,2021-04-09,99.138,99.182,93.360476,93.360476,0.0,13,1.4266,5.7775
KRG,2021-04-12,99.705,99.751,93.352877,93.352877,0.0,13,1.4294,6.3521
KRG,2021-04-13,99.232,99.28,93.457402,93.457402,0.0,13,1.4195,5.7746
KRG,2021-04-14,98.717,98.767,93.512578,93.512578,0.0,13,1.4095,5.2044
KRG,2021-04-15,99.759,99.816,93.770392,93.770392,0.0,13,1.3803,5.9886
KRG,2021-04-16,99.318,99.376,93.673165,93.673165,0.0,13,1.4004,5.6448
KRG,2021-04-19,99.114,99.174,93.533886,93.533886,0.0,13,1.4264,5.5801
KRG,2021-04-20,99.043,99.106,93.593015,93.593015,0.0,13,1.4211,5.45
KRG,2021-04-21,99.949,100.014,93.714493,93.714493,0.0,13,1.4048,6.2345
KRG,2021-04-22,99.425,99.496,93.73611,93.73611,0.0,13,1.4035,5.6889
KRG,2021-04-23,100.988,101.061,93.730227,93.730227,0.0,13,1.4033,7.2578
KRG,2021-04-26,101.338,101.413,93.760953,93.760953,0.0,13,1.3998,7.577
KRG,2021-04-27,102.125,102.202,93.67876,93.67876,0.0,13,1.4057,8.4462
KRG,2021-04-28,101.91,101.989,93.675261,93.675261,0.0,13,1.404,8.2347
KRG,2021-04-29,102.233,102.318,93.643154,93.643154,0.0,13,1.4065,8.5898
KRG,2021-04-30,102.113,102.2,93.649002,93.649002,0.0,13,1.4049,8.464
KRG,2021-05-03,103.414,103.504,93.698251,93.698251,0.0,13,1.4034,9.7157
KRG,2021-05-04,100.974,101.066,93.779037,93.779037,0.0,13,1.3937,7.195
KRG,2021-05-05,100.681,100.775,93.883421,93.883421,0.0,13,1.381,6.7976
KRG,2021-05-06,101.711,101.811,93.969134,93.969134,0.0,13,1.3682,7.7419
KRG,2021-05-07,102.572,102.674,94.066014,94.066014,0.0,13,1.3511,8.506
KRG,2021-05-10,101.424,101.528,93.968311,93.968311,0.0,13,1.3675,7.4557
KRG,2021-05-11,99.79,99.896,93.907012,93.907012,0.0,13,1.3734,5.883
KRG,2021-05-12,98.462,98.57,93.735891,93.735891,0.0,13,1.3923,4.7261
KRG,2021-05-13,99.194,99.309,93.782722,93.782722,0.0,13,1.3834,5.4113
KRG,2021-05-14,100.661,100.777,93.923062,93.923062,0.0,13,1.3632,6.7379
KRG,2021-05-17,100.384,100.503,93.935431,93.935431,0.0,13,1.3632,6.4486
KRG,2021-05-18,100.24,100.361,93.913077,93.913077,0.0,13,1.3689,6.3269
KRG,2021-05-19,99.274,99.397,93.787489,93.787489,0.0,13,1.3857,5.4865
KRG,2021-05-20,99.237,99.366,93.98005,93.98005,0.0,13,1.3564,5.2569
KRG,2021-05-21,99.553,99.684,93.995076,93.995076,0.0,13,1.3559,5.5579
KRG,2021-05-24,99.924,100.058,94.136325,94.136325,0.0,13,1.3372,5.7877
KRG,2021-05-25,99.253,99.389,94.304938,94.304938,0.0,13,1.3188,4.9481
KRG,2021-05-26,100.731,100.868,94.329999,94.329999,0.0,13,1.3166,6.401
KRG,2021-05-27,101.695,101.839,94.248315,94.248315,0.0,13,1.3271,7.4467
KRG,2021-05-28,101.874,102.02,94.377713,94.377713,0.0,13,1.3077,7.4963
KRG,2021-05-31,102.747,102.893,94.392806,94.392806,0.0,13,1.3068,8.3542
KRG,2021-06-01,102.582,102.729,94.253178,94.253178,0.0,13,1.33,8.3288
KRG,2021-06-02,103.415,103.565,94.305276,94.305276,0.0,13,1.3223,9.1097
KRG,2021-06-03,103.358,103.514,94.177143,94.177143,0.0,13,1.3406,9.1809
KRG,2021-06-04,102.827,102.986,94.366202,94.366202,0.0,13,1.3184,8.4608
KRG,2021-06-07,104.445,104.605,94.405931,94.405931,0.0,13,1.3187,10.0391
KRG,2021-06-08,105.968,106.13,94.524547,94.524547,0.0,13,1.305,11.4435
KRG,2021-06-09,106.067,106.231,94.658654,94.658654,0.0,13,1.2921,11.4083
KRG,2021-06-10,106.566,106.737,94.805642,94.805642,0.0,13,1.2775,11.7604
KRG,2021-06-11,106.159,106.332,94.822634,94.822634,0.0,13,1.2771,11.3364
