ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,effective_discount_rate,n_cashflows,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,option_value_per_bond,option_value_pct,delta,fair_value_clean,fair_value_dirty,mispricing_pct,mispricing_usd,signal
CDP,2023-09-12,103.065,103.094,98.673006,98.673006,0.0,6.0181,11,25.04,29.8328,25.6484,4.3717,5.0103,6.098777,204.4316,20.443161,0.64112,119.116167,119.116167,16.051167000000007,160.51167000000007,True
CDP,2023-09-13,102.579,102.623,98.754615,98.754615,0.0,6.0026,11,24.55,29.8328,34.7403,4.3556,5.0075,7.631529,255.8096,25.580962,0.661713,124.335577,124.335577,21.756577000000007,217.56577000000007,True
CDP,2023-09-19,103.02,103.151,98.438618,98.438618,0.0,6.0739,11,25.23,29.8328,27.4612,4.4857,4.9911,6.636636,222.4607,22.246071,0.654192,120.684689,120.684689,17.66468900000001,176.6468900000001,True
CDP,2023-09-20,103.576,103.722,98.496473,98.496473,0.0,6.0708,11,25.28,29.8328,40.9191,4.4948,4.9884,9.378918,314.3823,31.438226,0.698118,129.934699,129.934699,26.358699,263.58699,True
CDP,2023-09-21,101.668,101.857,98.173774,98.173774,0.0,6.1222,11,24.2,29.8328,31.7326,4.5694,4.9856,6.875248,230.459,23.045901,0.647655,121.219675,121.219675,19.55167499999999,195.5167499999999,True
CDP,2023-09-25,101.075,101.294,98.153914,98.153914,0.0,6.1231,11,23.93,29.8328,39.849,4.6016,4.9747,8.285277,277.7233,27.772332,0.674582,125.92624599999999,125.92624599999999,24.85124599999999,248.5124599999999,True
CDP,2023-09-26,100.616,100.849,98.062276,98.062276,0.0,6.1425,11,23.67,29.8328,41.4333,4.6187,4.9719,8.41626,282.1139,28.211386,0.676832,126.273662,126.273662,25.657662000000002,256.57662000000005,True
CDP,2023-09-27,100.829,101.077,97.785838,97.785838,0.0,6.2027,11,23.83,29.8328,36.3901,4.6713,4.9692,7.578571,254.0345,25.403446,0.660435,123.189284,123.189284,22.360284000000007,223.60284000000007,True
CDP,2023-09-28,101.375,101.667,97.874941,97.874941,0.0,6.1842,11,23.76,29.8328,35.5229,4.6438,4.9665,7.350392,246.3859,24.638587,0.654864,122.51352800000001,122.51352800000001,21.138528000000008,211.38528000000008,True
CDP,2023-09-29,101.65,101.956,97.914601,97.914601,0.0,6.1753,11,23.83,29.8328,47.683,4.6285,4.9637,9.663648,323.9264,32.392643,0.70319,130.307244,130.307244,28.65724399999999,286.5724399999999,True
