ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,effective_discount_rate,n_cashflows,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,option_value_per_bond,option_value_pct,delta,fair_value_clean,fair_value_dirty,mispricing_pct,mispricing_usd,signal
EVRG,2023-12-07,101.082,101.132,97.344321,97.344321,0.0,5.5923,9,51.7,61.6652,22.2326,4.1984,4.0219,8.93808,144.9453,14.494527,0.580455,111.838848,111.838848,10.756848000000005,107.56848000000005,True
EVRG,2023-12-08,101.012,101.074,97.093021,97.093021,0.0,5.665,9,51.56,61.6652,22.0101,4.2859,4.0192,8.83623,143.2936,14.329361,0.580102,111.422382,111.422382,10.410381999999998,104.10381999999998,True
EVRG,2023-12-11,101.014,101.089,97.047993,97.047993,0.0,5.6847,9,51.78,61.6652,21.4073,4.3117,4.011,8.728126,141.5405,14.154053,0.581993,111.20204600000001,111.20204600000001,10.188046000000014,101.88046000000014,True
EVRG,2023-12-12,101.103,101.191,97.122934,97.122934,0.0,5.6741,9,51.35,61.6652,19.9728,4.3034,4.0082,7.915499,128.3625,12.836248,0.567825,109.959182,109.959182,8.856182000000004,88.56182000000004,True
EVRG,2023-12-13,102.5,102.6,97.814541,97.814541,0.0,5.464,9,53.33,61.6652,20.6626,4.1365,4.0055,9.201535,149.2176,14.921762,0.600099,112.736303,112.736303,10.236303000000007,102.36303000000007,True
EVRG,2023-12-14,103.053,103.191,98.308433,98.308433,0.0,5.3616,9,53.37,61.6652,19.9093,4.0156,4.0027,8.792381,142.5825,14.258252,0.593747,112.56668499999999,112.56668499999999,9.513684999999995,95.13684999999995,True
EVRG,2023-12-15,101.923,102.073,98.323841,98.323841,0.0,5.3771,9,51.76,61.6652,23.6006,4.004,4.0,9.338431,151.4376,15.14376,0.579938,113.467601,113.467601,11.544601,115.44601,True
EVRG,2023-12-18,101.82,101.983,98.266753,98.266753,0.0,5.4049,9,51.46,61.6652,24.2799,4.0222,3.9918,9.435146,153.006,15.3006,0.578464,113.567353,113.567353,11.747353000000004,117.47353000000004,True
EVRG,2023-12-19,102.14,102.315,98.305439,98.305439,0.0,5.389,9,51.85,61.6652,21.7118,4.0154,3.989,8.590589,139.3101,13.931014,0.572635,112.23645300000001,112.23645300000001,10.096453000000011,100.96453000000011,True
EVRG,2023-12-20,101.732,101.92,98.456754,98.456754,0.0,5.3556,9,51.05,61.6652,19.7697,3.9551,3.9863,7.3391,119.0153,11.901526,0.546103,110.35828000000001,110.35828000000001,8.626280000000008,86.26280000000008,True
