ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,effective_discount_rate,n_cashflows,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,option_value_per_bond,option_value_pct,delta,fair_value_clean,fair_value_dirty,mispricing_pct,mispricing_usd,signal
REXR2,2024-03-28,102.208,102.254,96.296459,96.296459,0.0,5.3923,11,50.3,63.6351,22.9746,4.1488,4.9637,9.588913,150.6859,15.068593,0.577848,111.36505199999999,111.36505199999999,9.157051999999993,91.57051999999993,True
REXR2,2024-04-01,101.359,101.416,95.960778,95.960778,0.0,5.4665,11,48.84,63.6351,26.001,4.241,4.9528,10.118921,159.0148,15.90148,0.576457,111.862258,111.862258,10.503258000000002,105.03258000000002,True
REXR2,2024-04-02,100.311,100.38,95.851619,95.851619,0.0,5.4796,11,48.57,63.6351,25.983,4.272,4.95,9.982172,156.8658,15.686584,0.573552,111.538203,111.538203,11.227202999999989,112.27202999999989,True
REXR2,2024-04-03,100.726,100.806,95.959338,95.959338,0.0,5.4527,11,48.7,63.6351,27.0805,4.2695,4.9473,10.503868,165.0641,16.506409,0.581387,112.46574700000001,112.46574700000001,11.739747000000008,117.39747000000008,True
REXR2,2024-04-04,100.705,100.82,96.013254,96.013254,0.0,5.4431,11,48.46,63.6351,27.3976,4.2397,4.9446,10.468878,164.5142,16.451423,0.578993,112.464677,112.464677,11.759676999999996,117.59676999999996,True
REXR2,2024-04-08,100.625,100.763,95.76599,95.76599,0.0,5.5092,11,48.99,63.6351,26.4299,4.3437,4.9336,10.43761,164.0229,16.402286,0.583424,112.168276,112.168276,11.543276000000006,115.43276000000006,True
REXR2,2024-04-09,101.5,101.649,95.910607,95.910607,0.0,5.4779,11,49.37,63.6351,25.972,4.3114,4.9309,10.427081,163.8574,16.38574,0.584869,112.296347,112.296347,10.796346999999997,107.96346999999997,True
REXR2,2024-04-10,99.948,100.108,95.232579,95.232579,0.0,5.642,11,47.89,63.6351,26.9949,4.4816,4.9281,10.159592,159.6539,15.965392,0.57605,111.197971,111.197971,11.249971000000002,112.49971000000002,True
REXR2,2024-04-15,98.75,98.968,94.912872,94.912872,0.0,5.7131,11,45.07,63.6351,22.6885,4.5395,4.9144,6.889335,108.2631,10.826315,0.502539,105.73918699999999,105.73918699999999,6.989186999999987,69.89186999999987,True
REXR2,2024-04-16,97.721,97.951,94.691565,94.691565,0.0,5.7597,11,44.66,63.6351,20.9229,4.5891,4.9117,6.00197,94.3186,9.431855,0.480006,104.12342,104.12342,6.402419999999992,64.02419999999992,True
