ticker,date,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,effective_discount_rate,n_cashflows,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,option_value_per_bond,option_value_pct,delta,fair_value_clean,fair_value_dirty,mispricing_pct,mispricing_usd,signal
WEC2,2024-05-28,99.311,99.323,95.984528,95.984528,0.0,5.6366,11,79.72,98.7723,21.5422,4.4754,5.0103,15.508256,157.0102,15.701024,0.602077,111.685552,111.685552,12.374551999999994,123.74551999999994,True
WEC2,2024-05-29,98.974,98.998,95.725458,95.725458,0.0,5.6805,11,78.88,98.7723,18.6176,4.5433,5.0075,13.104953,132.6785,13.267848,0.58351,108.993306,108.993306,10.019306,100.19306,True
WEC2,2024-05-30,99.221,99.257,95.908107,95.908107,0.0,5.6406,11,79.26,98.7723,18.3504,4.5125,5.0048,13.086143,132.488,13.248804,0.585347,109.15691100000001,109.15691100000001,9.935911000000004,99.35911000000004,True
WEC2,2024-05-31,99.962,100.023,96.085612,96.085612,0.0,5.6055,11,81.03,98.7723,18.1884,4.4692,5.0021,13.954834,141.2829,14.128293,0.603656,110.213905,110.213905,10.251904999999994,102.51904999999994,True
WEC2,2024-06-03,100.011,100.084,96.462692,96.462692,0.0,5.5458,11,81.18,98.7723,18.0054,4.3767,4.9938,13.732338,139.0303,13.903031,0.600076,110.365723,110.365723,10.354723000000007,103.54723000000007,True
WEC2,2024-06-04,100.314,100.399,96.704718,96.704718,0.0,5.5079,11,82.14,98.7723,17.9708,4.3004,4.9911,14.137708,143.1344,14.31344,0.607491,111.018158,111.018158,10.704158000000007,107.04158000000007,True
WEC2,2024-06-05,99.984,100.081,96.916667,96.916667,0.0,5.4688,11,81.0,98.7723,18.0902,4.2521,4.9884,13.453731,136.2096,13.620961,0.592042,110.537628,110.537628,10.553628000000003,105.53628000000003,True
WEC2,2024-06-06,99.757,99.866,96.988492,96.988492,0.0,5.4603,11,80.35,98.7723,17.9445,4.2278,4.9856,12.918273,130.7885,13.078847,0.582326,110.06733899999999,110.06733899999999,10.310338999999985,103.10338999999985,True
WEC2,2024-06-07,99.483,99.629,96.559624,96.559624,0.0,5.5561,11,79.85,98.7723,18.1011,4.345,4.9829,12.922333,130.8296,13.082958,0.582391,109.642582,109.642582,10.159582,101.59582,True
WEC2,2024-06-11,99.568,99.738,96.590179,96.590179,0.0,5.558,11,79.75,98.7723,18.4605,4.3513,4.9719,13.096988,132.5978,13.259784,0.582511,109.849963,109.849963,10.281963000000005,102.81963000000005,True
WEC2,2024-06-12,99.685,99.868,96.906062,96.906062,0.0,5.495,11,79.31,98.7723,18.5015,4.2776,4.9692,12.737518,128.9585,12.895845,0.573808,109.801907,109.801907,10.116906999999998,101.16906999999998,True
WEC2,2024-06-13,99.477,99.671,97.152802,97.152802,0.0,5.4492,11,78.54,98.7723,18.0835,4.2007,4.9665,11.855852,120.0322,12.00322,0.558209,109.156022,109.156022,9.67902199999999,96.79021999999989,True
WEC2,2024-06-14,99.55,99.781,97.196297,97.196297,0.0,5.4491,11,78.86,98.7723,17.5316,4.173,4.9637,11.594425,117.3854,11.738544,0.557642,108.934841,108.934841,9.384841000000009,93.84841000000009,True
WEC2,2024-06-17,99.613,99.856,97.004725,97.004725,0.0,5.5065,11,78.37,98.7723,18.1292,4.2189,4.9555,11.788383,119.3491,11.934913,0.556622,108.93963799999999,108.93963799999999,9.326637999999988,93.26637999999988,True
WEC2,2024-06-18,99.483,99.75,97.161925,97.161925,0.0,5.4771,11,78.05,98.7723,18.6232,4.1838,4.9528,11.89286,120.4069,12.040688,0.553754,109.202613,109.202613,9.719612999999995,97.19612999999995,True
WEC2,2024-06-20,99.641,99.921,97.091033,97.091033,0.0,5.5,11,79.25,98.7723,18.1051,4.1977,4.9473,12.232171,123.8422,12.384216,0.566154,109.47524899999999,109.47524899999999,9.834248999999986,98.34248999999986,True
