date,ticker,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,effective_discount_rate,n_cashflows,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,option_value_per_bond,option_value_pct,delta,fair_value_clean,fair_value_dirty,mispricing_pct,mispricing_usd,signal
2024-11-12,DLR,103.399,103.404,86.750773,86.750773,0.0,4.9986,11.0,180.79,208.342,25.3939,4.2037,5.0075,45.397556,217.8992,21.789919,0.65649,108.540692,108.540692,5.141691999999992,51.41691999999992,True
2024-11-13,DLR,103.0,103.01,86.663801,86.663801,0.0,5.003,11.0,178.13,208.342,24.896,4.2093,5.0048,42.96422,206.2197,20.621966,0.645586,107.285767,107.285767,4.285767000000007,42.85767000000007,True
2024-11-14,DLR,102.337,102.353,86.570235,86.570235,0.0,5.0423,11.0,178.21,208.342,24.9901,4.2256,5.0021,43.194692,207.3259,20.732588,0.646588,107.302823,107.302823,4.965822999999986,49.65822999999986,True
2024-11-15,DLR,102.732,102.763,86.565627,86.565627,0.0,5.0397,11.0,179.67,208.342,25.0364,4.2199,4.9993,44.158601,211.9525,21.195245,0.651825,107.760872,107.760872,5.028872000000007,50.28872000000007,True
2024-11-18,DLR,103.184,103.22,86.699757,86.699757,0.0,5.0198,11.0,183.29,208.342,25.6528,4.2047,4.9911,47.265595,226.8654,22.68654,0.665292,109.386297,109.386297,6.202297000000016,62.02297000000016,True
2024-11-19,DLR,104.541,104.583,86.80257,86.80257,0.0,5.0074,11.0,187.27,208.342,26.0495,4.1812,4.9884,50.406881,241.9429,24.194295,0.678592,110.996865,110.996865,6.455865000000003,64.55865000000003,True
2024-11-20,DLR,104.541,104.583,86.80257,86.80257,0.0,5.0074,11.0,187.27,208.342,26.0495,4.1812,4.9884,50.406881,241.9429,24.194295,0.678592,110.996865,110.996865,6.455865000000003,64.55865000000003,True
2024-11-21,DLR,104.697,104.749,86.661716,86.661716,0.0,5.0548,11.0,187.37,208.342,26.5781,4.2127,4.9829,51.359718,246.5164,24.651638,0.680582,111.313354,111.313354,6.616354000000001,66.16354000000001,True
2024-11-22,DLR,105.611,105.678,86.641011,86.641011,0.0,5.0687,11.0,189.84,208.342,25.3656,4.2207,4.9802,51.288436,246.1742,24.617423,0.687156,111.258434,111.258434,5.647434000000004,56.47434000000004,True
2024-11-25,DLR,106.743,106.816,87.057154,87.057154,0.0,4.9962,11.0,192.82,208.342,25.784,4.1229,4.9719,53.588805,257.2155,25.721554,0.694035,112.778708,112.778708,6.035708,60.35708,True
2024-11-26,DLR,106.756,106.834,87.036755,87.036755,0.0,5.0057,11.0,194.02,208.342,25.7362,4.1209,4.9692,54.337339,260.8084,26.080836,0.697656,113.117591,113.117591,6.361591000000004,63.61591000000004,True
2024-11-27,DLR,107.43,107.519,87.219673,87.219673,0.0,4.9673,11.0,195.28,208.342,26.5566,4.0772,4.9665,56.275047,270.109,27.010897,0.700854,114.23057,114.23057,6.800569999999993,68.00569999999993,True
2024-11-28,DLR,107.43,107.519,87.219673,87.219673,0.0,4.9673,11.0,195.28,208.342,26.5566,4.0772,4.9665,56.275047,270.109,27.010897,0.700854,114.23057,114.23057,6.800569999999993,68.00569999999993,True
