date,ticker,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,effective_discount_rate,n_cashflows,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,option_value_per_bond,option_value_pct,delta,fair_value_clean,fair_value_dirty,mispricing_pct,mispricing_usd,signal
2023-04-06,DUK,102.242,102.299,97.497969,97.497969,0.0,5.4108,7.0,99.74,118.4175,20.9557,3.6208,3.0253,11.923256,100.6883,10.068832,0.504044,107.566801,107.566801,5.324800999999994,53.24800999999994,True
2023-04-07,DUK,102.242,102.299,97.497969,97.497969,0.0,5.4108,7.0,99.74,118.4175,20.9557,3.6208,3.0253,11.923256,100.6883,10.068832,0.504044,107.566801,107.566801,5.324800999999994,53.24800999999994,True
2023-04-10,DUK,101.977,102.046,97.21108,97.21108,0.0,5.5562,7.0,99.13,118.4175,21.1065,3.7582,3.0144,11.840906,99.9929,9.99929,0.502199,107.21037,107.21037,5.233369999999994,52.333699999999936,True
2023-04-11,DUK,101.968,102.048,97.223619,97.223619,0.0,5.5528,7.0,99.35,118.4175,21.1768,3.7788,3.0116,12.011564,101.4341,10.143405,0.505567,107.367024,107.367024,5.399023999999997,53.99023999999997,True
2023-04-12,DUK,102.144,102.236,97.324975,97.324975,0.0,5.5322,7.0,99.41,118.4175,21.0775,3.735,3.0089,11.912812,100.6001,10.060012,0.50396,107.384987,107.384987,5.24098699999999,52.4098699999999,True
2023-04-13,DUK,102.141,102.267,97.367128,97.367128,0.0,5.517,7.0,99.14,118.4175,21.363,3.7445,3.0062,11.973731,101.1146,10.111457,0.503076,107.478585,107.478585,5.33758499999999,53.3758499999999,True
2023-04-14,DUK,101.706,101.843,97.243402,97.243402,0.0,5.579,7.0,97.64,118.4175,21.7641,3.8261,3.0034,11.581884,97.8055,9.780554,0.492026,107.023956,107.023956,5.317955999999995,53.17955999999995,True
2023-04-17,DUK,101.694,101.843,97.097422,97.097422,0.0,5.6418,7.0,98.41,118.4175,21.2824,3.9076,2.9952,11.696751,98.7756,9.877555,0.499068,106.974977,106.974977,5.280976999999993,52.80976999999993,True
2023-04-18,DUK,101.398,101.559,97.094873,97.094873,0.0,5.6413,7.0,97.41,118.4175,21.4949,3.9241,2.9925,11.348115,95.8314,9.583142,0.489849,106.678015,106.678015,5.280015000000006,52.80015000000006,True
2023-04-19,DUK,101.562,101.734,96.984924,96.984924,0.0,5.6735,7.0,98.4,118.4175,21.1405,3.9621,2.9897,11.634681,98.2514,9.825139,0.499355,106.810063,106.810063,5.248063000000016,52.48063000000016,True
2023-04-20,DUK,101.549,101.755,97.126509,97.126509,0.0,5.6204,7.0,98.22,118.4175,21.5496,3.9035,2.987,11.746997,99.1999,9.919987,0.498173,107.046496,107.046496,5.497495999999998,54.97495999999998,True
2023-04-21,DUK,101.71,101.928,97.13982,97.13982,0.0,5.6199,7.0,98.36,118.4175,21.3619,3.9138,2.9843,11.690148,98.7198,9.871979,0.498538,107.011799,107.011799,5.301799000000003,53.017990000000026,True
2023-04-24,DUK,101.9,102.129,97.252442,97.252442,0.0,5.5947,7.0,98.9,118.4175,21.3332,3.8764,2.976,11.866858,100.2121,10.021206,0.502535,107.273648,107.273648,5.373648000000003,53.73648000000003,True
2023-04-25,DUK,102.253,102.494,97.568119,97.568119,0.0,5.5103,7.0,99.74,118.4175,21.3374,3.7294,2.9733,12.109891,102.2644,10.22644,0.506807,107.794559,107.794559,5.541558999999992,55.41558999999992,True
2023-04-26,DUK,101.938,102.19,97.596578,97.596578,0.0,5.5192,7.0,98.35,118.4175,22.5746,3.723,2.9706,12.239968,103.3629,10.336285,0.500007,107.932863,107.932863,5.994862999999995,59.94862999999995,True
2023-04-27,DUK,102.08,102.366,97.379611,97.379611,0.0,5.6048,7.0,99.47,118.4175,21.715,3.8315,2.9678,12.326209,104.0911,10.409114,0.509239,107.788725,107.788725,5.708725000000001,57.08725000000001,True
2023-04-28,DUK,101.988,102.286,97.429158,97.429158,0.0,5.5941,7.0,98.88,118.4175,21.617,3.8076,2.9651,11.929316,100.7395,10.073949,0.501339,107.503107,107.503107,5.515107,55.15107,True
2023-05-01,DUK,101.709,102.018,97.194448,97.194448,0.0,5.7092,7.0,99.09,118.4175,21.4152,3.8935,2.9569,11.961578,101.0119,10.101194,0.504445,107.295642,107.295642,5.586641999999984,55.86641999999984,True
2023-05-02,DUK,101.303,101.624,97.439457,97.439457,0.0,5.6232,7.0,97.6,118.4175,22.241,3.7741,2.9541,11.637299,98.2735,9.82735,0.490199,107.266807,107.266807,5.963807000000003,59.63807000000003,True
2023-05-03,DUK,101.792,102.124,97.616079,97.616079,0.0,5.557,7.0,97.33,118.4175,22.3119,3.6914,2.9514,11.45358,96.722,9.672204,0.485117,107.288283,107.288283,5.496283000000005,54.96283000000005,True
2023-05-04,DUK,101.939,102.305,97.74584,97.74584,0.0,5.5447,7.0,98.11,118.4175,22.8127,3.5952,2.9487,12.057438,101.8214,10.182145,0.493947,107.927985,107.927985,5.988985000000014,59.88985000000014,True
2023-05-05,DUK,101.974,102.352,97.628139,97.628139,0.0,5.6057,7.0,99.36,118.4175,21.6541,3.6653,2.9459,11.958341,100.9846,10.09846,0.501046,107.726599,107.726599,5.752599000000004,57.52599000000004,True
2023-05-08,DUK,101.974,102.364,97.451013,97.451013,0.0,5.6832,7.0,98.9,118.4175,22.4716,3.7401,2.9377,12.330957,104.1312,10.413123,0.503436,107.864136,107.864136,5.890135999999998,58.90135999999998,True
2023-05-09,DUK,101.712,102.113,97.427388,97.427388,0.0,5.7045,7.0,98.05,118.4175,21.9856,3.7644,2.935,11.602485,97.9795,9.79795,0.49161,107.225338,107.225338,5.51333799999999,55.1333799999999,True
2023-05-10,DUK,102.239,102.652,97.662,97.662,0.0,5.5961,7.0,99.14,118.4175,20.9448,3.6797,2.9322,11.334728,95.7184,9.571837,0.49326,107.233837,107.233837,4.994837000000004,49.94837000000004,True
2023-05-11,DUK,102.023,102.47,97.758455,97.758455,0.0,5.595,7.0,97.33,118.4175,21.7329,3.6462,2.9295,10.93231,92.3201,9.232008,0.477729,106.990463,106.990463,4.967463000000009,49.67463000000009,True
2023-05-12,DUK,101.985,102.443,97.647549,97.647549,0.0,5.6267,7.0,97.45,118.4175,21.2941,3.7053,2.9268,10.74575,90.7446,9.074463,0.47723,106.722012,106.722012,4.737011999999993,47.37011999999993,True
2023-05-15,DUK,101.476,101.946,97.558707,97.558707,0.0,5.6714,7.0,96.33,118.4175,21.7323,3.7363,2.9185,10.491587,88.5983,8.85983,0.468464,106.418537,106.418537,4.9425370000000015,49.425370000000015,True
