date,ticker,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,effective_discount_rate,n_cashflows,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,option_value_per_bond,option_value_pct,delta,fair_value_clean,fair_value_dirty,mispricing_pct,mispricing_usd,signal
2024-05-09,MTH,104.331,104.35,87.291917,87.291917,0.0,5.6248,9.0,90.52,115.8749,35.0802,4.4883,4.0164,22.739771,196.2442,19.624423,0.600636,106.91634,106.91634,2.585339999999988,25.85339999999988,False
2024-05-10,MTH,103.73,103.754,87.201602,87.201602,0.0,5.6575,9.0,90.14,115.8749,33.8243,4.5203,4.0137,21.632361,186.6873,18.668727,0.592362,105.870329,105.870329,2.140328999999994,21.40328999999994,False
2024-05-13,MTH,104.392,104.421,87.214519,87.214519,0.0,5.6686,9.0,90.045,115.8749,34.8838,4.5181,4.0055,22.292502,192.3843,19.238429,0.596798,106.452948,106.452948,2.060947999999996,20.60947999999996,False
2024-05-14,MTH,104.232,104.266,87.32075,87.32075,0.0,5.645,9.0,90.905,115.8749,34.7099,4.4888,4.0027,22.652997,195.4954,19.549537,0.600561,106.870287,106.870287,2.6382870000000054,26.38287000000005,False
2024-05-15,MTH,105.524,105.563,87.598103,87.598103,0.0,5.5675,9.0,94.065,115.8749,33.3841,4.4063,4.0,23.533689,203.0957,20.309574,0.611935,107.907677,107.907677,2.383676999999992,23.83676999999992,False
2024-05-16,MTH,105.418,105.471,87.585429,87.585429,0.0,5.5799,9.0,91.515,115.8749,34.3104,4.424,3.9973,22.636738,195.355,19.535505,0.600712,107.120934,107.120934,1.702933999999999,17.02933999999999,False
2024-05-17,MTH,104.568,104.626,87.515274,87.515274,0.0,5.6016,9.0,91.5,115.8749,33.4131,4.4499,3.9945,22.002604,189.8825,18.988248,0.596616,106.503522,106.503522,1.935522000000006,19.35522000000006,False
2024-05-20,MTH,104.391,104.454,87.518246,87.518246,0.0,5.6121,9.0,91.295,115.8749,33.9802,4.4708,3.9863,22.274364,192.2278,19.222776,0.598223,106.741022,106.741022,2.350021999999996,23.50021999999996,False
2024-05-21,MTH,103.923,103.991,87.536724,87.536724,0.0,5.6118,9.0,89.135,115.8749,33.7632,4.4589,3.9836,20.754302,179.1096,17.910963,0.58247,105.447687,105.447687,1.524687,15.24687,False
2024-05-22,MTH,102.023,102.096,87.491076,87.491076,0.0,5.6322,9.0,87.29,115.8749,33.3254,4.477,3.9808,19.427634,167.6605,16.766048,0.568318,104.257124,104.257124,2.2341240000000084,22.341240000000084,False
2024-05-23,MTH,101.404,101.496,87.316188,87.316188,0.0,5.6844,9.0,86.34,115.8749,32.7546,4.536,3.9781,18.593719,160.4638,16.04638,0.559927,103.362568,103.362568,1.958568,19.58568,False
2024-05-24,MTH,102.105,102.203,87.269646,87.269646,0.0,5.6978,9.0,87.31,115.8749,33.3641,4.5547,3.9754,19.534771,168.5851,16.858508,0.570207,104.128154,104.128154,2.023153999999991,20.23153999999991,False
2024-05-27,MTH,102.105,102.203,87.269646,87.269646,0.0,5.6978,9.0,87.31,115.8749,33.3641,4.5547,3.9754,19.534771,168.5851,16.858508,0.570207,104.128154,104.128154,2.023153999999991,20.23153999999991,False
2024-05-28,MTH,100.984,101.082,87.246594,87.246594,0.0,5.7165,9.0,86.12,115.8749,33.1297,4.5883,3.9644,18.728657,161.6283,16.162831,0.561178,103.409425,103.409425,2.425425000000004,24.25425000000004,False
2024-05-29,MTH,100.73,100.832,87.069326,87.069326,0.0,5.7539,9.0,84.93,115.8749,32.6289,4.6489,3.9617,17.809774,153.6984,15.369835,0.551157,102.439161,102.439161,1.7091609999999946,17.091609999999946,False
2024-05-30,MTH,101.431,101.538,87.214158,87.214158,0.0,5.7142,9.0,87.69,115.8749,34.4038,4.6172,3.9589,20.432111,176.3291,17.632912,0.578875,104.84707,104.84707,3.416070000000005,34.16070000000005,True
2024-05-31,MTH,102.326,102.442,87.349171,87.349171,0.0,5.6813,9.0,88.175,115.8749,33.3853,4.5747,3.9562,19.962013,172.2722,17.227218,0.57543,104.576389,104.576389,2.2503890000000126,22.503890000000126,False
2024-06-03,MTH,102.773,102.894,87.62717,87.62717,0.0,5.6276,9.0,88.645,115.8749,33.8317,4.4886,3.948,20.378817,175.8692,17.586919,0.578425,105.214089,105.214089,2.441089000000005,24.41089000000005,False
2024-06-04,MTH,101.902,102.028,87.799521,87.799521,0.0,5.5944,9.0,86.285,115.8749,34.9009,4.418,3.9452,19.70348,170.041,17.004103,0.567644,104.803624,104.803624,2.901623999999998,29.016239999999986,False
2024-06-05,MTH,102.789,102.921,87.956437,87.956437,0.0,5.5578,9.0,88.34,115.8749,33.9419,4.3724,3.9425,20.116135,173.6022,17.360224,0.574119,105.316661,105.316661,2.527660999999995,25.27660999999995,False
2024-06-06,MTH,102.871,103.007,88.009616,88.009616,0.0,5.5508,9.0,87.42,115.8749,34.6289,4.3495,3.9398,20.034295,172.896,17.289596,0.571449,105.299212,105.299212,2.428212000000002,24.28212000000002,False
