date,ticker,market_clean_price,market_dirty_price,clean_floor,dirty_floor,accrued_interest,effective_discount_rate,n_cashflows,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,option_value_per_bond,option_value_pct,delta,fair_value_clean,fair_value_dirty,mispricing_pct,mispricing_usd,signal
2024-03-01,NEE,100.593,100.626,93.872802,93.872802,0.0,5.5759,7.0,55.21,68.061,28.1311,4.3207,2.9979,8.911694,130.9368,13.093684,0.530962,106.966486,106.966486,6.3734859999999856,63.73485999999985,True
2024-03-04,NEE,99.91,99.952,93.867046,93.867046,0.0,5.6015,7.0,54.97,68.061,27.9186,4.3484,2.9897,8.707648,127.9389,12.793887,0.526432,106.660933,106.660933,6.750933000000003,67.50933000000003,True
2024-03-05,NEE,100.519,100.569,93.983124,93.983124,0.0,5.5652,7.0,55.4,68.061,28.2788,4.2982,2.987,9.019438,132.5199,13.25199,0.533286,107.235114,107.235114,6.716114000000005,67.16114000000005,True
2024-03-06,NEE,100.618,100.676,94.028097,94.028097,0.0,5.5649,7.0,55.53,68.061,27.8992,4.2855,2.9843,8.930022,131.2061,13.120614,0.532584,107.148711,107.148711,6.530711000000011,65.30711000000011,True
2024-03-07,NEE,101.0,101.083,94.145946,94.145946,0.0,5.5278,7.0,56.25,68.061,28.8452,4.2547,2.9815,9.651294,141.8036,14.180357,0.547172,108.326303,108.326303,7.326302999999996,73.26302999999996,True
2024-03-08,NEE,102.407,102.499,94.228669,94.228669,0.0,5.5051,7.0,57.81,68.061,28.1783,4.2375,2.9788,10.273839,150.9504,15.095044,0.56574,109.323713,109.323713,6.916713000000001,69.16713000000001,True
2024-03-11,NEE,102.489,102.589,94.225663,94.225663,0.0,5.5271,7.0,57.87,68.061,27.7079,4.254,2.9706,10.109183,148.5312,14.853119,0.564396,109.078782,109.078782,6.589781999999985,65.89781999999985,True
2024-03-12,NEE,102.329,102.438,94.140207,94.140207,0.0,5.5581,7.0,57.15,68.061,26.1432,4.3129,2.9678,9.094584,133.624,13.3624,0.547234,107.502607,107.502607,5.173607000000004,51.73607000000004,True
2024-03-13,NEE,103.957,104.073,94.089937,94.089937,0.0,5.5822,7.0,59.54,68.061,26.5881,4.348,2.9651,10.684562,156.9851,15.698506,0.585883,109.788443,109.788443,5.831443000000007,58.31443000000007,True
2024-03-14,NEE,104.1,104.242,93.935324,93.935324,0.0,5.6285,7.0,59.54,68.061,27.4794,4.4247,2.9624,11.086654,162.8929,16.289289,0.590751,110.224613,110.224613,6.1246129999999965,61.246129999999965,True
