ticker,date,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,delta,option_value_per_bond,option_value_pct
CDP,2023-09-12,25.04,29.8328,25.6484,4.3717,5.0103,6.098777,0.64112,204.4316,20.443161
CDP,2023-09-13,24.55,29.8328,34.7403,4.3556,5.0075,7.631529,0.661713,255.8096,25.580962
CDP,2023-09-14,24.94,29.8328,25.9866,4.3757,5.0048,6.102011,0.639529,204.54,20.454003
CDP,2023-09-15,24.81,29.8328,19.1548,4.4273,5.0021,4.593677,0.616937,153.9805,15.398051
CDP,2023-09-18,24.96,29.8328,27.4675,4.4462,4.9938,6.447231,0.646639,216.1118,21.611182
CDP,2023-09-19,25.23,29.8328,27.4612,4.4857,4.9911,6.636636,0.654192,222.4607,22.246071
CDP,2023-09-20,25.28,29.8328,40.9191,4.4948,4.9884,9.378918,0.698118,314.3823,31.438226
CDP,2023-09-21,24.2,29.8328,31.7326,4.5694,4.9856,6.875248,0.647655,230.459,23.045901
CDP,2023-09-22,23.88,29.8328,40.6846,4.5556,4.9829,8.401997,0.676404,281.6358,28.163577
CDP,2023-09-25,23.93,29.8328,39.849,4.6016,4.9747,8.285277,0.674582,277.7233,27.772332
CDP,2023-09-26,23.67,29.8328,41.4333,4.6187,4.9719,8.41626,0.676832,282.1139,28.211386
CDP,2023-09-27,23.83,29.8328,36.3901,4.6713,4.9692,7.578571,0.660435,254.0345,25.403446
CDP,2023-09-28,23.76,29.8328,35.5229,4.6438,4.9665,7.350392,0.654864,246.3859,24.638587
CDP,2023-09-29,23.83,29.8328,47.683,4.6285,4.9637,9.663648,0.70319,323.9264,32.392643
CDP,2023-10-02,23.51,29.8328,40.713,4.6969,4.9555,8.186785,0.672255,274.4219,27.442186
CDP,2023-10-03,22.9,29.8328,42.2844,4.7804,4.9528,8.102254,0.670141,271.5883,27.158835
CDP,2023-10-04,23.14,29.8328,41.7467,4.7263,4.95,8.139507,0.67073,272.8371,27.28371
CDP,2023-10-05,23.38,29.8328,49.0513,4.6955,4.9473,9.607065,0.703051,322.0298,32.202976
CDP,2023-10-06,23.22,29.8328,46.2937,4.7243,4.9446,9.014803,0.690402,302.1771,30.21771
CDP,2023-10-09,23.87,29.8328,28.2841,4.7251,4.9363,5.981084,0.628553,200.4865,20.048653
CDP,2023-10-10,24.21,29.8328,24.2755,4.638,4.9336,5.326308,0.619167,178.5384,17.853838
CDP,2023-10-11,24.93,29.8328,29.8387,4.587,4.9309,6.915967,0.655422,231.8239,23.182391
CDP,2023-10-12,24.47,29.8328,33.7155,4.6679,4.9281,7.426483,0.661071,248.9365,24.893645
CDP,2023-10-13,24.17,29.8328,21.8747,4.6437,4.9254,4.811499,0.609167,161.2819,16.128192
CDP,2023-10-16,24.78,29.8328,27.1486,4.6922,4.9172,6.305578,0.645774,211.3636,21.13636
CDP,2023-10-17,24.68,29.8328,21.9808,4.8044,4.9144,5.212483,0.63139,174.723,17.472295
CDP,2023-10-18,23.97,29.8328,34.9307,4.8594,4.9117,7.401207,0.659619,248.0892,24.80892
CDP,2023-10-19,23.64,29.8328,33.4495,4.8955,4.909,6.908665,0.647777,231.5791,23.157913
CDP,2023-10-20,23.48,29.8328,43.29,4.8493,4.9062,8.643825,0.683193,289.7419,28.974188
CDP,2023-10-23,23.16,29.8328,37.8163,4.7982,4.898,7.385048,0.653834,247.5475,24.754755
CDP,2023-10-24,23.38,29.8328,29.1643,4.7901,4.8953,5.82793,0.619941,195.3528,19.535279
CDP,2023-10-25,22.92,29.8328,25.7824,4.859,4.8925,4.920958,0.59378,164.951,16.495099
CDP,2023-10-26,23.47,29.8328,33.621,4.8039,4.8898,6.77316,0.641864,227.037,22.703699
CDP,2023-10-27,22.96,29.8328,27.0915,4.7658,4.8871,5.151319,0.598101,172.6727,17.267274
CDP,2023-10-30,22.93,29.8328,25.6182,4.7827,4.8789,4.849872,0.590095,162.5682,16.256821
CDP,2023-10-31,22.8,29.8328,34.518,4.7962,4.8761,6.493539,0.630497,217.6641,21.766409
CDP,2023-11-01,22.91,29.8328,31.0887,4.6951,4.8734,5.848375,0.613602,196.0381,19.603811
CDP,2023-11-02,23.65,29.8328,28.5982,4.6415,4.8706,5.799539,0.619085,194.4011,19.440113
CDP,2023-11-03,23.9,29.8328,25.8786,4.5185,4.8679,5.342925,0.609913,179.0954,17.909538
CDP,2023-11-06,23.56,29.8328,30.7855,4.5742,4.8597,6.144013,0.624359,205.9479,20.594792
CDP,2023-11-07,23.51,29.8328,27.3768,4.5354,4.8569,5.39947,0.605867,180.9908,18.099078
CDP,2023-11-08,23.56,29.8328,31.4731,4.5125,4.8542,6.250411,0.625633,209.5144,20.951439
CDP,2023-11-09,23.54,29.8328,29.9818,4.6113,4.8515,5.976672,0.62089,200.3386,20.033864
CDP,2023-11-10,23.53,29.8328,30.2448,4.6361,4.8487,6.030706,0.622414,202.1499,20.214987
CDP,2023-11-13,23.29,29.8328,35.8371,4.6472,4.8405,6.971019,0.642183,233.6693,23.366926
CDP,2023-11-14,24.63,29.8328,35.6381,4.4632,4.8378,7.721515,0.663274,258.826,25.882595
CDP,2023-11-15,24.56,29.8328,29.0203,4.4985,4.835,6.372024,0.638112,213.5909,21.359088
CDP,2023-11-16,24.11,29.8328,27.4827,4.4419,4.8323,5.741316,0.618845,192.4495,19.244949
CDP,2023-11-17,24.38,29.8328,30.3359,4.4392,4.8296,6.491098,0.637068,217.5822,21.758224
CDP,2023-11-20,24.25,29.8328,29.7292,4.4317,4.8214,6.273762,0.631049,210.2971,21.029713
CDP,2023-11-21,23.75,29.8328,24.1736,4.4148,4.8186,4.82244,0.592366,161.6487,16.164866
CDP,2023-11-22,23.95,29.8328,36.5011,4.4261,4.8159,7.412127,0.652245,248.4552,24.845522
CDP,2023-11-24,24.27,29.8328,22.1444,4.4838,4.8104,4.742522,0.602147,158.9698,15.896982
CDP,2023-11-27,24.18,29.8328,33.084,4.423,4.8022,6.876098,0.642246,230.4875,23.048749
CDP,2023-11-28,24.25,29.8328,40.6209,4.346,4.7995,8.342984,0.671837,279.6577,27.965766
CDP,2023-11-29,24.32,29.8328,42.2494,4.2661,4.7967,8.661428,0.677651,290.3319,29.033194
CDP,2023-11-30,24.2,29.8328,42.2422,4.3145,4.794,8.59695,0.676575,288.1706,28.817062
CDP,2023-12-01,25.56,29.8328,37.1727,4.1935,4.7912,8.467153,0.677779,283.8198,28.381981
CDP,2023-12-04,25.48,29.8328,33.7892,4.23,4.783,7.740828,0.665557,259.4733,25.947332
CDP,2023-12-05,24.97,29.8328,45.9627,4.1648,4.7803,9.760084,0.699062,327.159,32.715901
CDP,2023-12-06,24.64,29.8328,33.1756,4.1282,4.7775,7.037041,0.644167,235.8823,23.588231
CDP,2023-12-07,24.92,29.8328,28.9314,4.1165,4.7748,6.349267,0.633422,212.8281,21.282808
CDP,2023-12-08,24.64,29.8328,29.985,4.204,4.7721,6.423382,0.633237,215.3124,21.53124
CDP,2023-12-11,24.45,29.8328,32.601,4.229,4.7639,6.830571,0.63986,228.9614,22.896143
CDP,2023-12-12,24.59,29.8328,32.2651,4.2174,4.7611,6.844488,0.641125,229.4279,22.942791
CDP,2023-12-13,25.5,29.8328,32.6464,4.0497,4.7584,7.418895,0.657019,248.6821,24.868209
CDP,2023-12-14,25.65,29.8328,25.9396,3.927,4.7556,6.080361,0.634668,203.8143,20.38143
CDP,2023-12-15,25.5,29.8328,37.785,3.9124,4.7529,8.387009,0.671791,281.1334,28.113339
CDP,2023-12-18,24.99,29.8328,24.2137,3.9308,4.7447,5.29707,0.610008,177.5583,17.755831
CDP,2023-12-19,25.11,29.8328,26.3475,3.9247,4.742,5.814614,0.621431,194.9064,19.490643
CDP,2023-12-20,25.31,29.8328,34.5234,3.8637,4.7392,7.573414,0.654961,253.8616,25.38616
CDP,2023-12-21,25.19,29.8328,28.6011,3.8567,4.7365,6.294432,0.629891,210.99,21.098997
CDP,2023-12-22,25.28,29.8328,25.9704,3.8509,4.7337,5.799234,0.6219,194.3909,19.439091
CDP,2023-12-26,25.65,29.8328,23.9661,3.8524,4.7228,5.598062,0.624706,187.6476,18.764761
CDP,2023-12-27,25.57,29.8328,33.516,3.7768,4.7201,7.476291,0.653594,250.606,25.060604
CDP,2023-12-28,25.78,29.8328,37.5279,3.7971,4.7173,8.442273,0.672311,282.9858,28.298582
CDP,2023-12-29,25.63,29.8328,33.2732,3.8076,4.7146,7.472498,0.654452,250.4789,25.047887
CDP,2024-01-02,25.9,29.8328,22.3288,3.8677,4.7036,5.396748,0.626963,180.8995,18.089954
CDP,2024-01-03,25.3,29.8328,25.4354,3.8608,4.7009,5.672993,0.61956,190.1593,19.015929
CDP,2024-01-04,25.24,29.8328,24.4397,3.9143,4.6982,5.449378,0.61582,182.6637,18.266369
CDP,2024-01-05,25.45,29.8328,23.3132,3.9568,4.6954,5.360763,0.619342,179.6933,17.969332
CDP,2024-01-08,25.56,29.8328,24.687,3.9312,4.6872,5.698381,0.625889,191.0103,19.10103
CDP,2024-01-09,25.43,29.8328,23.7225,3.9293,4.6845,5.411059,0.618765,181.3793,18.137925
CDP,2024-01-10,25.61,29.8328,24.6291,3.9375,4.6817,5.715257,0.6271,191.576,19.157598
CDP,2024-01-11,25.35,29.8328,25.0103,3.8786,4.679,5.602574,0.619145,187.7988,18.779884
CDP,2024-01-12,25.6,29.8328,25.3299,3.8023,4.6762,5.785455,0.624567,193.929,19.392903
CDP,2024-01-16,25.31,29.8328,26.4663,3.8701,4.6653,5.864089,0.62268,196.5649,19.656485
