ticker,date,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,delta,option_value_per_bond,option_value_pct
DLR,2024-11-12,180.79,208.342,25.3939,4.2037,5.0075,45.397556,0.65649,217.8992,21.789919
DLR,2024-11-13,178.13,208.342,24.896,4.2093,5.0048,42.96422,0.645586,206.2197,20.621966
DLR,2024-11-14,178.21,208.342,24.9901,4.2256,5.0021,43.194692,0.646588,207.3259,20.732588
DLR,2024-11-15,179.67,208.342,25.0364,4.2199,4.9993,44.158601,0.651825,211.9525,21.195245
DLR,2024-11-18,183.29,208.342,25.6528,4.2047,4.9911,47.265595,0.665292,226.8654,22.68654
DLR,2024-11-19,187.27,208.342,26.0495,4.1812,4.9884,50.406881,0.678592,241.9429,24.194295
DLR,2024-11-20,185.91,208.342,26.6254,4.1823,4.9856,50.301216,0.675065,241.4358,24.143578
DLR,2024-11-21,187.37,208.342,26.5781,4.2127,4.9829,51.359718,0.680582,246.5164,24.651638
DLR,2024-11-22,189.84,208.342,25.3656,4.2207,4.9802,51.288436,0.687156,246.1742,24.617423
DLR,2024-11-25,192.82,208.342,25.784,4.1229,4.9719,53.588805,0.694035,257.2155,25.721554
DLR,2024-11-26,194.02,208.342,25.7362,4.1209,4.9692,54.337339,0.697656,260.8084,26.080836
DLR,2024-11-27,195.28,208.342,26.5566,4.0772,4.9665,56.275047,0.700854,270.109,27.010897
DLR,2024-11-29,195.69,208.342,26.0823,4.0213,4.961,55.579441,0.699935,266.7702,26.67702
DLR,2024-12-02,192.16,208.342,26.2746,4.016,4.9528,53.307596,0.688757,255.8658,25.58658
DLR,2024-12-03,191.07,208.342,26.1342,4.0327,4.95,52.37227,0.685518,251.3764,25.137642
DLR,2024-12-04,190.84,208.342,25.9862,4.0059,4.9473,51.861562,0.683688,248.9251,24.892512
DLR,2024-12-05,191.08,208.342,26.1791,3.9936,4.9446,52.256389,0.684284,250.8202,25.082022
DLR,2024-12-06,192.69,208.342,25.6058,3.9649,4.9418,52.381532,0.687816,251.4209,25.142088
DLR,2024-12-09,188.17,208.342,25.8545,3.9856,4.9336,49.609139,0.673638,238.1139,23.811394
DLR,2024-12-10,185.71,208.342,27.2208,4.0078,4.9309,50.02388,0.668788,240.1046,24.010462
DLR,2024-12-11,187.22,208.342,26.0307,4.0423,4.9281,49.385433,0.672331,237.0402,23.70402
DLR,2024-12-12,187.13,208.342,26.2411,4.0885,4.9254,49.796147,0.673742,239.0115,23.901155
DLR,2024-12-13,185.04,208.342,25.3915,4.1581,4.9227,47.350843,0.667167,227.2746,22.727458
DLR,2024-12-16,185.47,208.342,25.3551,4.1697,4.9144,47.557583,0.66869,228.2669,22.826689
DLR,2024-12-17,185.0,208.342,25.57,4.1779,4.9117,47.583719,0.667634,228.3923,22.839233
DLR,2024-12-18,176.96,208.342,27.515,4.2721,4.909,45.607897,0.647756,218.9088,21.890878
DLR,2024-12-19,176.81,208.342,26.8274,4.3214,4.9062,44.665775,0.64651,214.3868,21.438679
