ticker,date,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,delta,option_value_per_bond,option_value_pct
EEFT,2025-08-15,95.96,127.0357,31.1394,3.8454,5.128,23.533356,0.591317,185.2499,18.524988
EEFT,2025-08-18,95.82,127.0357,32.1042,3.8587,5.1198,24.275316,0.596362,191.0904,19.109044
EEFT,2025-08-19,95.15,127.0357,32.3922,3.8367,5.117,24.053745,0.593509,189.3463,18.934627
EEFT,2025-08-20,95.09,127.0357,32.9943,3.8158,5.1143,24.489461,0.596165,192.7761,19.277614
EEFT,2025-08-21,94.0,127.0357,31.8998,3.8549,5.1116,23.002774,0.58452,181.0732,18.107323
EEFT,2025-08-22,98.32,127.0357,33.3434,3.7871,5.1088,26.759216,0.614905,210.6432,21.06432
EEFT,2025-08-25,95.945,127.0357,33.3843,3.7973,5.1006,25.278754,0.602272,198.9893,19.898929
EEFT,2025-08-26,94.74,127.0357,32.058,3.7666,5.0979,23.34263,0.586544,183.7485,18.374852
EEFT,2025-08-27,93.91,127.0357,31.4821,3.7421,5.0951,22.374015,0.577706,176.1238,17.612377
EEFT,2025-08-28,94.01,127.0357,32.4026,3.7278,5.0924,23.131925,0.583369,182.0899,18.208989
EEFT,2025-08-29,93.19,127.0357,33.2748,3.7205,5.0897,23.350077,0.583931,183.8071,18.380714
EEFT,2025-09-02,91.23,127.0357,33.8877,3.7582,5.0787,22.766771,0.577772,179.2155,17.921546
EEFT,2025-09-03,90.64,127.0357,33.9989,3.7225,5.076,22.463398,0.574244,176.8274,17.682738
EEFT,2025-09-04,90.87,127.0357,33.4998,3.6807,5.0732,22.126694,0.571044,174.1769,17.417691
EEFT,2025-09-05,91.16,127.0357,34.4616,3.6107,5.0705,22.922125,0.576944,180.4384,18.043838
EEFT,2025-09-08,90.5,127.0357,34.0654,3.5787,5.0623,22.172661,0.569647,174.5388,17.453876
EEFT,2025-09-09,91.34,127.0357,31.6778,3.5972,5.0595,20.765963,0.558607,163.4655,16.34655
EEFT,2025-09-10,89.91,127.0357,34.5606,3.5862,5.0568,22.225031,0.569694,174.951,17.4951
EEFT,2025-09-11,91.34,127.0357,33.9318,3.5718,5.0541,22.48803,0.572839,177.0213,17.702127
EEFT,2025-09-12,90.83,127.0357,34.3412,3.6051,5.0513,22.567475,0.57349,177.6466,17.764665
EEFT,2025-09-15,89.48,127.0357,32.5873,3.5949,5.0431,20.410458,0.5532,160.667,16.066705
EEFT,2025-09-16,89.3,127.0357,33.2622,3.5817,5.0404,20.812909,0.556502,163.8351,16.383506
EEFT,2025-09-17,88.82,127.0357,36.3911,3.6014,5.0376,22.980369,0.575602,180.8969,18.089687
EEFT,2025-09-18,89.22,127.0357,33.8139,3.6421,5.0349,21.267368,0.561274,167.4125,16.741247
EEFT,2025-09-19,89.21,127.0357,34.3851,3.6655,5.0322,21.728821,0.565644,171.0449,17.104493
EEFT,2025-09-22,89.19,127.0357,35.1454,3.6829,5.024,22.298159,0.570757,175.5266,17.552665
EEFT,2025-09-23,87.37,127.0357,32.3717,3.6684,5.0212,19.115148,0.539617,150.4706,15.047062
EEFT,2025-09-24,87.91,127.0357,32.9485,3.6917,5.0185,19.885798,0.547884,156.537,15.653703
EEFT,2025-09-25,87.91,127.0357,34.7601,3.7338,5.0157,21.337691,0.561945,167.966,16.796603
EEFT,2025-09-26,89.45,127.0357,33.9803,3.7487,5.013,21.597223,0.565562,170.009,17.000902
EEFT,2025-09-29,88.96,127.0357,31.2587,3.726,5.0048,19.129208,0.542069,150.5813,15.05813
EEFT,2025-09-30,87.81,127.0357,34.4706,3.7171,5.0021,20.986068,0.558316,165.1981,16.519813
EEFT,2025-10-01,88.22,127.0357,32.8407,3.6746,4.9993,19.877817,0.547674,156.4742,15.64742
EEFT,2025-10-02,88.06,127.0357,35.3311,3.6561,4.9966,21.677163,0.564,170.6383,17.063829
EEFT,2025-10-03,88.03,127.0357,35.3074,3.681,4.9938,21.667189,0.564169,170.5598,17.055978
EEFT,2025-10-06,87.94,127.0357,35.9473,3.7139,4.9856,22.119247,0.56851,174.1183,17.411829
EEFT,2025-10-07,86.92,127.0357,35.452,3.692,4.9829,21.139522,0.558743,166.4061,16.640609
EEFT,2025-10-08,86.53,127.0357,36.1277,3.6965,4.9802,21.431391,0.561333,168.7036,16.870363
EEFT,2025-10-09,86.15,127.0357,35.6295,3.7053,4.9774,20.846905,0.555709,164.1027,16.410267
EEFT,2025-10-10,83.11,127.0357,35.4214,3.6356,4.9747,18.913676,0.53408,148.8847,14.888467
EEFT,2025-10-13,83.03,127.0357,36.7615,3.6351,4.9665,19.840676,0.543814,156.1818,15.618184
EEFT,2025-10-14,87.71,127.0357,36.0326,3.5871,4.9637,21.799657,0.563838,171.6025,17.160254
EEFT,2025-10-15,85.58,127.0357,34.9273,3.5971,4.961,19.796034,0.54371,155.8304,15.583042
EEFT,2025-10-16,86.13,127.0357,35.4463,3.535,4.9582,20.398392,0.549209,160.5721,16.057206
EEFT,2025-10-17,87.33,127.0357,34.8585,3.5526,4.9555,20.62095,0.55216,162.324,16.2324
EEFT,2025-10-20,87.34,127.0357,34.7612,3.5476,4.9473,20.515081,0.551022,161.4906,16.149062
EEFT,2025-10-21,89.12,127.0357,34.3859,3.5314,4.9446,21.165132,0.55804,166.6077,16.660768
EEFT,2025-10-22,88.64,127.0357,36.5854,3.523,4.9418,22.557418,0.570123,177.5675,17.756749
EEFT,2025-10-23,83.44,127.0357,35.5085,3.5603,4.9391,18.936544,0.533301,149.0647,14.906469
EEFT,2025-10-24,82.27,127.0357,35.9941,3.5687,4.9363,18.659444,0.530048,146.8834,14.688341
EEFT,2025-10-27,80.56,127.0357,34.7695,3.5764,4.9281,16.787768,0.508086,132.15,13.214995
EEFT,2025-10-28,79.38,127.0357,36.2173,3.5721,4.9254,17.204468,0.512841,135.4301,13.543013
EEFT,2025-10-29,77.57,127.0357,37.7413,3.6523,4.9227,17.400027,0.516121,136.9695,13.696953
EEFT,2025-10-30,75.5,127.0357,38.5902,3.6864,4.9199,16.927468,0.511104,133.2496,13.324964
EEFT,2025-10-31,75.86,127.0357,39.833,3.6892,4.9172,17.958658,0.523844,141.367,14.136697
EEFT,2025-11-03,74.22,127.0357,37.7009,3.6964,4.909,15.732267,0.495795,123.8413,12.384126
EEFT,2025-11-04,73.29,127.0357,38.7717,3.675,4.9062,15.931967,0.498696,125.4133,12.541326
EEFT,2025-11-05,73.21,127.0357,39.9486,3.7235,4.9035,16.663084,0.509005,131.1685,13.116847
EEFT,2025-11-06,72.17,127.0357,38.8246,3.6762,4.9008,15.414998,0.492047,121.3438,12.134378
EEFT,2025-11-07,72.28,127.0357,35.9884,3.6612,4.898,13.655908,0.465891,107.4966,10.749657
EEFT,2025-11-10,71.64,127.0357,38.9089,3.6816,4.8898,15.185021,0.489031,119.5334,11.953345
EEFT,2025-11-11,71.81,127.0357,38.5678,3.6814,4.8871,15.045708,0.486903,118.4368,11.843681
EEFT,2025-11-12,71.1,127.0357,39.2128,3.6546,4.8843,15.071688,0.487453,118.6413,11.864131
EEFT,2025-11-13,70.22,127.0357,39.9311,3.6767,4.8816,15.102966,0.488689,118.8875,11.888753
EEFT,2025-11-14,70.64,127.0357,39.1341,3.7047,4.8789,14.834362,0.48464,116.7731,11.677313
EEFT,2025-11-17,70.72,127.0357,40.6738,3.6993,4.8706,15.778833,0.498197,124.2078,12.420782
EEFT,2025-11-18,69.79,127.0357,37.9288,3.6792,4.8679,13.628212,0.466412,107.2786,10.727856
EEFT,2025-11-19,69.64,127.0357,37.6755,3.679,4.8652,13.391202,0.462705,105.4129,10.541287
EEFT,2025-11-20,70.93,127.0357,38.2406,3.659,4.8624,14.325493,0.476365,112.7674,11.276742
EEFT,2025-11-21,73.32,127.0357,40.6135,3.6149,4.8597,16.87046,0.510483,132.8009,13.280088
EEFT,2025-11-24,72.95,127.0357,38.7198,3.5939,4.8515,15.481103,0.491547,121.8641,12.186414
EEFT,2025-11-25,72.82,127.0357,38.1669,3.564,4.8487,15.037282,0.485025,118.3705,11.837048
EEFT,2025-11-26,73.4,127.0357,37.0123,3.5607,4.846,14.572015,0.478031,114.708,11.470799
EEFT,2025-11-28,74.09,127.0357,36.6192,3.5791,4.8405,14.646378,0.47906,115.2934,11.529335
EEFT,2025-12-01,74.52,127.0357,38.6398,3.631,4.8323,16.149299,0.500211,127.1241,12.712405
EEFT,2025-12-02,74.13,127.0357,39.6991,3.6329,4.8296,16.614569,0.506578,130.7866,13.078656
EEFT,2025-12-03,74.99,127.0357,38.2059,3.6094,4.8268,16.059627,0.498606,126.4182,12.641817
EEFT,2025-12-04,74.01,127.0357,37.9769,3.6485,4.8241,15.484612,0.491446,121.8918,12.189177
EEFT,2025-12-05,74.75,127.0357,37.8115,3.6809,4.8214,15.753954,0.495175,124.012,12.401197
EEFT,2025-12-08,73.37,127.0357,38.5536,3.714,4.8131,15.57187,0.493412,122.5786,12.257865
EEFT,2025-12-09,74.14,127.0357,38.2635,3.7379,4.8104,15.771223,0.496047,124.1479,12.414792
EEFT,2025-12-10,77.49,127.0357,37.6724,3.7087,4.8077,16.951964,0.510312,133.4425,13.344247
EEFT,2025-12-11,78.4,127.0357,38.7455,3.69,4.8049,18.190651,0.524961,143.1932,14.319316
EEFT,2025-12-12,78.51,127.0357,38.0525,3.7135,4.8022,17.772884,0.520186,139.9046,13.990459
EEFT,2025-12-15,76.8,127.0357,38.1626,3.7053,4.794,16.879251,0.509395,132.8701,13.287009
EEFT,2025-12-16,76.5,127.0357,38.4904,3.6757,4.7912,16.903102,0.509474,133.0578,13.305784
EEFT,2025-12-17,76.9,127.0357,39.0825,3.6734,4.7885,17.519918,0.51701,137.9133,13.791329
EEFT,2025-12-18,76.92,127.0357,38.1342,3.6478,4.7858,16.82926,0.50814,132.4766,13.247657
EEFT,2025-12-19,77.02,127.0357,38.0036,3.6654,4.783,16.803589,0.507941,132.2745,13.227449
EEFT,2025-12-22,78.36,127.0357,37.4382,3.6817,4.7748,17.113537,0.511713,134.7143,13.471434
EEFT,2025-12-23,78.35,127.0357,37.7885,3.698,4.7721,17.367209,0.514946,136.7112,13.67112
EEFT,2025-12-24,77.27,127.0357,37.9774,3.6908,4.7693,16.889284,0.509112,132.9491,13.294907
EEFT,2025-12-26,76.56,127.0357,37.9231,3.6687,4.7639,16.475947,0.503751,129.6954,12.969536
EEFT,2025-12-29,75.81,127.0357,37.6779,3.6472,4.7556,15.919296,0.496361,125.3135,12.531352
EEFT,2025-12-30,75.95,127.0357,36.28,3.6446,4.7529,15.085749,0.484998,118.752,11.8752
EEFT,2025-12-31,76.11,127.0357,37.1322,3.6775,4.7502,15.72848,0.494005,123.8114,12.381145
EEFT,2026-01-02,74.1,127.0357,37.7406,3.692,4.7447,15.164742,0.486796,119.3738,11.937382
EEFT,2026-01-05,75.2,127.0357,37.3882,3.6731,4.7365,15.414185,0.489761,121.3374,12.133738
EEFT,2026-01-06,76.62,127.0357,37.0608,3.6785,4.7337,15.869171,0.495705,124.9189,12.491894
EEFT,2026-01-07,74.07,127.0357,38.6067,3.6614,4.731,15.614733,0.492709,122.9161,12.291605
EEFT,2026-01-08,74.43,127.0357,36.6696,3.6884,4.7283,14.588547,0.478386,114.8381,11.483812
EEFT,2026-01-09,75.31,127.0357,37.2594,3.7062,4.7255,15.382349,0.489529,121.0868,12.108678
EEFT,2026-01-12,74.03,127.0357,37.2876,3.7176,4.7173,14.784064,0.481454,116.3772,11.637719
EEFT,2026-01-13,71.94,127.0357,38.3284,3.7081,4.7146,14.430592,0.476901,113.5947,11.359473
EEFT,2026-01-14,74.77,127.0357,39.7109,3.6847,4.7118,16.58541,0.505546,130.557,13.055703
EEFT,2026-01-15,74.69,127.0357,39.3684,3.7134,4.7091,16.356583,0.502793,128.7558,12.875575
EEFT,2026-01-16,74.57,127.0357,38.611,3.7601,4.7064,15.86959,0.496705,124.9222,12.492223
EEFT,2026-01-20,71.97,127.0357,38.3633,3.8006,4.6954,14.490506,0.478429,114.0664,11.406637
EEFT,2026-01-21,73.43,127.0357,37.9814,3.7854,4.6927,14.920351,0.483996,117.45,11.745002
EEFT,2026-01-22,74.42,127.0357,37.1597,3.7936,4.6899,14.872253,0.483115,117.0714,11.70714
EEFT,2026-01-23,74.18,127.0357,37.2077,3.7854,4.6872,14.772529,0.481649,116.2864,11.62864
EEFT,2026-01-26,74.03,127.0357,36.5402,3.7704,4.679,14.240606,0.473783,112.0992,11.20992
EEFT,2026-01-27,72.87,127.0357,37.2195,3.7684,4.6762,14.112678,0.472083,111.0922,11.109217
EEFT,2026-01-28,72.32,127.0357,38.2688,3.785,4.6735,14.511254,0.478311,114.2297,11.422969
EEFT,2026-01-29,72.9,127.0357,38.1948,3.7616,4.6708,14.707809,0.480753,115.7769,11.577693
EEFT,2026-01-30,72.46,127.0357,37.4943,3.7492,4.668,14.04662,0.470985,110.5722,11.057219
EEFT,2026-02-02,72.28,127.0357,38.1988,3.7744,4.6598,14.394415,0.476412,113.31,11.330995
EEFT,2026-02-03,67.72,127.0357,37.9344,3.7777,4.6571,12.080848,0.441372,95.098,9.509802
EEFT,2026-02-04,70.98,127.0357,41.0737,3.7824,4.6543,15.506238,0.493416,122.062,12.2062
EEFT,2026-02-05,71.84,127.0357,40.3041,3.7086,4.6516,15.378627,0.490398,121.0575,12.105747
EEFT,2026-02-06,75.02,127.0357,40.9122,3.7045,4.6489,17.256046,0.513839,135.8361,13.583614
EEFT,2026-02-09,72.79,127.0357,39.9027,3.6948,4.6407,15.536529,0.491899,122.3005,12.230045
EEFT,2026-02-10,74.56,127.0357,38.5562,3.6544,4.6379,15.498342,0.490237,121.9998,12.199985
EEFT,2026-02-11,70.19,127.0357,43.0479,3.6829,4.6352,16.133439,0.50218,126.9992,12.699921
EEFT,2026-02-12,67.9,127.0357,40.8486,3.6324,4.6324,13.706683,0.467234,107.8963,10.789627
EEFT,2026-02-13,67.96,127.0357,41.273,3.5744,4.6297,13.926362,0.470272,109.6255,10.962554
EEFT,2026-02-17,70.55,127.0357,40.4322,3.5752,4.6188,14.616614,0.478825,115.0591,11.505907
EEFT,2026-02-18,71.16,127.0357,39.8289,3.5949,4.616,14.550939,0.477569,114.5421,11.454208
EEFT,2026-02-19,71.02,127.0357,37.8503,3.5983,4.6133,13.279448,0.457992,104.5332,10.453316
EEFT,2026-02-20,72.5,127.0357,39.1253,3.6046,4.6105,14.744511,0.479747,116.0658,11.606584
