ticker,date,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,delta,option_value_per_bond,option_value_pct
EVRG,2023-12-07,51.7,61.6652,22.2326,4.1984,4.0219,8.93808,0.580455,144.9453,14.494527
EVRG,2023-12-08,51.56,61.6652,22.0101,4.2859,4.0192,8.83623,0.580102,143.2936,14.329361
EVRG,2023-12-11,51.78,61.6652,21.4073,4.3117,4.011,8.728126,0.581993,141.5405,14.154053
EVRG,2023-12-12,51.35,61.6652,19.9728,4.3034,4.0082,7.915499,0.567825,128.3625,12.836248
EVRG,2023-12-13,53.33,61.6652,20.6626,4.1365,4.0055,9.201535,0.600099,149.2176,14.921762
EVRG,2023-12-14,53.37,61.6652,19.9093,4.0156,4.0027,8.792381,0.593747,142.5825,14.258252
EVRG,2023-12-15,51.76,61.6652,23.6006,4.004,4.0,9.338431,0.579938,151.4376,15.14376
EVRG,2023-12-18,51.46,61.6652,24.2799,4.0222,3.9918,9.435146,0.578464,153.006,15.3006
EVRG,2023-12-19,51.85,61.6652,21.7118,4.0154,3.989,8.590589,0.572635,139.3101,13.931014
EVRG,2023-12-20,51.05,61.6652,19.7697,3.9551,3.9863,7.3391,0.546103,119.0153,11.901526
EVRG,2023-12-21,51.07,61.6652,22.9733,3.9453,3.9836,8.59641,0.562725,139.4045,13.940454
EVRG,2023-12-22,51.38,61.6652,23.5177,3.9364,3.9808,8.978552,0.570126,145.6016,14.560158
EVRG,2023-12-26,51.79,61.6652,22.6274,3.9363,3.9699,8.833949,0.572186,143.2566,14.325661
EVRG,2023-12-27,51.85,61.6652,22.3669,3.8639,3.9671,8.69606,0.569329,141.0205,14.102052
EVRG,2023-12-28,52.24,61.6652,22.9352,3.8844,3.9644,9.181165,0.579204,148.8873,14.888728
EVRG,2023-12-29,52.2,61.6652,22.5714,3.8905,3.9617,9.004894,0.576976,146.0288,14.602877
EVRG,2024-01-02,53.43,61.6652,17.7724,3.9476,3.9507,7.762088,0.582803,125.8747,12.587468
EVRG,2024-01-03,53.87,61.6652,18.9563,3.9413,3.948,8.522155,0.594768,138.2004,13.820039
EVRG,2024-01-04,53.61,61.6652,21.3349,3.9923,3.9452,9.402745,0.599075,152.4806,15.248055
EVRG,2024-01-05,53.7,61.6652,18.5741,4.0307,3.9425,8.32664,0.593758,135.0298,13.502979
EVRG,2024-01-08,53.92,61.6652,21.8859,4.004,3.9343,9.809138,0.605914,159.0709,15.907087
EVRG,2024-01-09,54.21,61.6652,19.1273,4.0013,3.9316,8.828893,0.603344,143.1746,14.317462
EVRG,2024-01-10,54.08,61.6652,21.5088,4.0079,3.9288,9.74311,0.60739,158.0001,15.800012
EVRG,2024-01-11,53.35,61.6652,22.5871,3.9474,3.9261,9.685023,0.596534,157.0581,15.705814
EVRG,2024-01-12,53.85,61.6652,22.1325,3.8654,3.9233,9.7224,0.600276,157.6643,15.766427
EVRG,2024-01-16,52.86,61.6652,23.4445,3.9261,3.9124,9.695298,0.590514,157.2248,15.722477
EVRG,2024-01-17,51.79,61.6652,22.5729,3.9975,3.9097,8.73972,0.571123,141.7285,14.172854
EVRG,2024-01-18,50.89,61.6652,22.8202,4.0268,3.9069,8.359461,0.557991,135.562,13.556203
EVRG,2024-01-19,50.44,61.6652,21.2592,4.059,3.9042,7.533637,0.542504,122.17,12.216998
EVRG,2024-01-22,49.86,61.6652,21.6834,4.0371,3.896,7.358038,0.533025,119.3224,11.932235
