ticker,date,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,delta,option_value_per_bond,option_value_pct
FRT,2024-01-11,101.98,122.7958,20.4642,3.8494,5.013,18.729863,0.595415,152.5285,15.252851
FRT,2024-01-12,102.9,122.7958,20.5428,3.7753,5.0103,19.200973,0.600127,156.365,15.636504
FRT,2024-01-16,101.9,122.7958,20.931,3.8453,4.9993,19.030953,0.595897,154.9805,15.498047
FRT,2024-01-17,100.24,122.7958,19.2942,3.9183,4.9966,16.833919,0.5778,137.0887,13.70887
FRT,2024-01-18,99.08,122.7958,20.344,3.9508,4.9938,17.139197,0.574041,139.5748,13.957476
FRT,2024-01-19,100.62,122.7958,20.0629,3.9827,4.9911,17.825349,0.587215,145.1625,14.516252
FRT,2024-01-22,100.8,122.7958,21.261,3.9569,4.9829,18.862396,0.592384,153.6078,15.360781
FRT,2024-01-23,101.88,122.7958,21.0496,3.97,4.9802,19.318491,0.600564,157.3221,15.732207
FRT,2024-01-24,101.23,122.7958,19.8614,4.0025,4.9774,17.994578,0.591858,146.5406,14.654065
FRT,2024-01-25,103.67,122.7958,20.4019,3.964,4.9747,19.843591,0.612459,161.5983,16.159827
FRT,2024-01-26,103.6,122.7958,21.3554,3.9787,4.9719,20.683511,0.615522,168.4382,16.843824
FRT,2024-01-29,103.69,122.7958,21.2234,3.9206,4.9637,20.46752,0.613152,166.6793,16.66793
FRT,2024-01-30,103.6,122.7958,20.6454,3.9263,4.961,19.889296,0.610588,161.9705,16.197047
FRT,2024-01-31,101.73,122.7958,21.608,3.8564,4.9582,19.417493,0.596212,158.1283,15.812829
FRT,2024-02-01,103.24,122.7958,21.7343,3.7518,4.9555,20.258223,0.604497,164.9749,16.497486
FRT,2024-02-02,101.97,122.7958,21.5496,3.882,4.9528,19.549438,0.598694,159.2028,15.92028
FRT,2024-02-05,99.8,122.7958,22.0689,4.011,4.9446,18.955757,0.588611,154.3681,15.43681
FRT,2024-02-06,101.66,122.7958,22.5264,3.9734,4.9418,20.379631,0.603456,165.9636,16.596357
FRT,2024-02-07,100.84,122.7958,24.1934,3.9797,4.9391,21.346528,0.604633,173.8376,17.383759
FRT,2024-02-08,102.06,122.7958,22.4784,4.0309,4.9363,20.687702,0.608293,168.4724,16.847237
FRT,2024-02-09,101.14,122.7958,22.4668,4.0581,4.9336,20.135983,0.602051,163.9794,16.397939
FRT,2024-02-12,100.71,122.7958,22.418,4.0576,4.9254,19.786724,0.598107,161.1352,16.113517
FRT,2024-02-13,101.05,122.7958,23.3394,4.1959,4.9227,21.089891,0.609635,171.7476,17.174763
FRT,2024-02-14,100.89,122.7958,21.2086,4.1807,4.9199,19.106464,0.59931,155.5954,15.55954
FRT,2024-02-15,102.21,122.7958,21.9952,4.1585,4.9172,20.542703,0.611721,167.2916,16.729155
FRT,2024-02-16,100.42,122.7958,25.0431,4.2076,4.9144,22.175551,0.6122,180.5888,18.058882
FRT,2024-02-20,99.41,122.7958,19.0213,4.1906,4.9035,16.363618,0.576858,133.2588,13.325876
FRT,2024-02-21,99.4,122.7958,21.7153,4.2236,4.9008,18.699278,0.590333,152.2794,15.227944
FRT,2024-02-22,99.1,122.7958,20.2536,4.2554,4.898,17.351335,0.582397,141.3023,14.130233
FRT,2024-02-23,98.28,122.7958,20.8713,4.2215,4.8953,17.32897,0.576706,141.1202,14.11202
FRT,2024-02-26,97.4,122.7958,18.8083,4.237,4.8871,15.046221,0.55763,122.5304,12.253041
FRT,2024-02-27,97.91,122.7958,20.4244,4.2558,4.8843,16.765528,0.572082,136.5318,13.653176
FRT,2024-02-28,98.67,122.7958,19.9902,4.2236,4.8816,16.760037,0.575174,136.487,13.648703
FRT,2024-02-29,100.85,122.7958,20.0977,4.2074,4.8789,18.062003,0.594015,147.0897,14.708973
FRT,2024-03-01,99.92,122.7958,20.9758,4.1337,4.8761,18.112847,0.586631,147.5038,14.750378
FRT,2024-03-04,101.7,122.7958,21.479,4.159,4.8679,19.570463,0.603697,159.374,15.937402
FRT,2024-03-05,101.68,122.7958,20.6076,4.1008,4.8652,18.697425,0.597868,152.2644,15.226435
FRT,2024-03-06,101.81,122.7958,19.1686,4.0777,4.8624,17.500936,0.592521,142.5206,14.252062
FRT,2024-03-07,101.99,122.7958,18.5376,4.0428,4.8597,16.983146,0.590105,138.3039,13.830394
FRT,2024-03-08,102.17,122.7958,20.8208,4.0257,4.8569,18.969538,0.599216,154.4803,15.448033
FRT,2024-03-11,102.76,122.7958,20.3708,4.0388,4.8487,18.935355,0.602683,154.202,15.420196
FRT,2024-03-12,101.13,122.7958,19.7314,4.0979,4.846,17.575388,0.588839,143.1269,14.312693
FRT,2024-03-13,101.19,122.7958,19.4686,4.1338,4.8433,17.450765,0.589753,142.1121,14.211205
FRT,2024-03-14,99.34,122.7958,20.7178,4.2188,4.8405,17.608948,0.582448,143.4002,14.340023
FRT,2024-03-15,99.12,122.7958,21.3021,4.2585,4.8378,18.040537,0.584769,146.9149,14.691492
FRT,2024-03-18,99.79,122.7958,22.3293,4.2882,4.8296,19.300109,0.595444,157.1724,15.717237
FRT,2024-03-19,99.67,122.7958,20.9678,4.2632,4.8268,18.045386,0.587566,146.9544,14.69544
FRT,2024-03-20,101.1,122.7958,21.2888,4.214,4.8241,19.019386,0.598534,154.8863,15.488627
FRT,2024-03-21,102.22,122.7958,20.1158,4.2133,4.8214,18.671849,0.603437,152.0561,15.205607
FRT,2024-03-22,99.53,122.7958,19.875,4.1673,4.8186,16.828285,0.576975,137.0428,13.704283
FRT,2024-03-25,99.03,122.7958,21.9862,4.1826,4.8104,18.316292,0.583009,149.1606,14.916055
FRT,2024-03-26,98.79,122.7958,20.4981,4.1822,4.8077,16.925329,0.573557,137.8331,13.783311
FRT,2024-03-27,101.54,122.7958,19.4212,4.1522,4.8049,17.515902,0.591752,142.6425,14.26425
FRT,2024-03-28,102.12,122.7958,21.6321,4.1664,4.8022,19.746233,0.605206,160.8054,16.080542
FRT,2024-04-01,100.74,122.7958,20.8731,4.2583,4.7912,18.440611,0.594321,150.173,15.017296
FRT,2024-04-02,99.8,122.7958,19.4598,4.2885,4.7885,16.764215,0.581329,136.5211,13.652106
FRT,2024-04-03,100.16,122.7958,20.7249,4.2855,4.7858,18.020422,0.589709,146.7511,14.675111
FRT,2024-04-04,99.35,122.7958,21.5261,4.2557,4.783,18.157698,0.585107,147.869,14.786903
FRT,2024-04-05,99.69,122.7958,22.053,4.3146,4.7803,18.888608,0.592342,153.8213,15.382127
FRT,2024-04-08,101.04,122.7958,22.0695,4.3595,4.7721,19.726851,0.604353,160.6476,16.064759
FRT,2024-04-09,102.9,122.7958,20.0538,4.3276,4.7693,19.062105,0.611467,155.2342,15.523416
FRT,2024-04-10,99.65,122.7958,21.0599,4.4977,4.7666,18.351197,0.594455,149.4448,14.94448
FRT,2024-04-11,99.75,122.7958,21.2991,4.5281,4.7639,18.655719,0.597313,151.9247,15.192471
FRT,2024-04-12,99.74,122.7958,22.0371,4.4871,4.7611,19.165756,0.598407,156.0783,15.607825
FRT,2024-04-15,98.05,122.7958,21.6807,4.5551,4.7529,17.998742,0.585317,146.5746,14.657456
FRT,2024-04-16,96.43,122.7958,22.5048,4.604,4.7502,17.822411,0.577577,145.1386,14.513858
FRT,2024-04-17,97.04,122.7958,22.1081,4.5604,4.7474,17.75847,0.578855,144.6179,14.461788
FRT,2024-04-18,98.53,122.7958,21.8978,4.5964,4.7447,18.502123,0.591477,150.6739,15.067389
FRT,2024-04-19,99.77,122.7958,21.861,4.59,4.742,19.16665,0.60103,156.0855,15.608553
FRT,2024-04-22,101.14,122.7958,22.3155,4.5879,4.7337,20.292061,0.612899,165.2504,16.525043
FRT,2024-04-23,102.87,122.7958,23.7667,4.5646,4.731,22.6153,0.629704,184.17,18.416996
FRT,2024-04-24,103.6,122.7958,20.2723,4.5824,4.7283,20.081284,0.626603,163.5339,16.353395
FRT,2024-04-25,102.57,122.7958,22.2566,4.6367,4.7255,21.239954,0.625371,172.9697,17.296969
FRT,2024-04-26,102.19,122.7958,21.0539,4.6325,4.7228,19.926362,0.618635,162.2723,16.227232
FRT,2024-04-29,103.29,122.7958,21.0933,4.6023,4.7146,20.584548,0.62618,167.6323,16.763232
FRT,2024-04-30,104.17,122.7958,22.8193,4.6476,4.7118,22.737013,0.63869,185.1611,18.516114
