ticker,date,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,delta,option_value_per_bond,option_value_pct
MTH,2024-05-09,90.52,115.8749,35.0802,4.4883,4.0164,22.739771,0.600636,196.2442,19.624423
MTH,2024-05-10,90.14,115.8749,33.8243,4.5203,4.0137,21.632361,0.592362,186.6873,18.668727
MTH,2024-05-13,90.045,115.8749,34.8838,4.5181,4.0055,22.292502,0.596798,192.3843,19.238429
MTH,2024-05-14,90.905,115.8749,34.7099,4.4888,4.0027,22.652997,0.600561,195.4954,19.549537
MTH,2024-05-15,94.065,115.8749,33.3841,4.4063,4.0,23.533689,0.611935,203.0957,20.309574
MTH,2024-05-16,91.515,115.8749,34.3104,4.424,3.9973,22.636738,0.600712,195.355,19.535505
MTH,2024-05-17,91.5,115.8749,33.4131,4.4499,3.9945,22.002604,0.596616,189.8825,18.988248
MTH,2024-05-20,91.295,115.8749,33.9802,4.4708,3.9863,22.274364,0.598223,192.2278,19.222776
MTH,2024-05-21,89.135,115.8749,33.7632,4.4589,3.9836,20.754302,0.58247,179.1096,17.910963
MTH,2024-05-22,87.29,115.8749,33.3254,4.477,3.9808,19.427634,0.568318,167.6605,16.766048
MTH,2024-05-23,86.34,115.8749,32.7546,4.536,3.9781,18.593719,0.559927,160.4638,16.04638
MTH,2024-05-24,87.31,115.8749,33.3641,4.5547,3.9754,19.534771,0.570207,168.5851,16.858508
MTH,2024-05-28,86.12,115.8749,33.1297,4.5883,3.9644,18.728657,0.561178,161.6283,16.162831
MTH,2024-05-29,84.93,115.8749,32.6289,4.6489,3.9617,17.809774,0.551157,153.6984,15.369835
MTH,2024-05-30,87.69,115.8749,34.4038,4.6172,3.9589,20.432111,0.578875,176.3291,17.632912
MTH,2024-05-31,88.175,115.8749,33.3853,4.5747,3.9562,19.962013,0.57543,172.2722,17.227218
MTH,2024-06-03,88.645,115.8749,33.8317,4.4886,3.948,20.378817,0.578425,175.8692,17.586919
MTH,2024-06-04,86.285,115.8749,34.9009,4.418,3.9452,19.70348,0.567644,170.041,17.004103
MTH,2024-06-05,88.34,115.8749,33.9419,4.3724,3.9425,20.116135,0.574119,173.6022,17.360224
MTH,2024-06-06,87.42,115.8749,34.6289,4.3495,3.9398,20.034295,0.571449,172.896,17.289596
MTH,2024-06-07,84.62,115.8749,33.4024,4.4642,3.937,17.842709,0.548176,153.9826,15.398258
MTH,2024-06-10,84.35,115.8749,33.4628,4.5145,3.9288,17.759626,0.547402,153.2656,15.326557
MTH,2024-06-11,82.325,115.8749,33.3381,4.4679,3.9261,16.523583,0.530713,142.5985,14.259852
MTH,2024-06-12,85.045,115.8749,34.7972,4.3975,3.9233,18.853196,0.557474,162.7031,16.270308
MTH,2024-06-13,83.815,115.8749,34.2584,4.3238,3.9206,17.748637,0.543997,153.1707,15.317074
MTH,2024-06-14,81.37,115.8749,35.5322,4.2987,3.9179,17.223807,0.534894,148.6415,14.864146
MTH,2024-06-17,83.21,115.8749,35.3392,4.3447,3.9097,18.102888,0.546777,156.2279,15.622793
MTH,2024-06-18,82.005,115.8749,33.8371,4.3111,3.9069,16.436051,0.527168,141.8431,14.184312
MTH,2024-06-20,81.435,115.8749,34.2383,4.3238,3.9014,16.383354,0.525845,141.3883,14.138835
MTH,2024-06-21,80.11,115.8749,34.1018,4.3266,3.8987,15.577372,0.514809,134.4327,13.443272
MTH,2024-06-24,82.97,115.8749,34.6575,4.3296,3.8905,17.439104,0.53927,150.4995,15.049947
MTH,2024-06-25,81.84,115.8749,35.3725,4.322,3.8877,17.275342,0.535912,149.0862,14.90862
MTH,2024-06-26,81.09,115.8749,34.9607,4.3803,3.885,16.656908,0.528845,143.7491,14.374912
MTH,2024-06-27,81.075,115.8749,34.9228,4.3674,3.8823,16.60033,0.528024,143.2608,14.326085
MTH,2024-06-28,80.925,115.8749,35.7805,4.3933,3.8795,17.084359,0.533417,147.438,14.743802
MTH,2024-07-01,78.075,115.8749,35.295,4.4705,3.8713,15.282473,0.510041,131.8877,13.188774
MTH,2024-07-02,77.28,115.8749,34.5967,4.4476,3.8686,14.376121,0.497437,124.0659,12.406593
MTH,2024-07-03,77.82,115.8749,34.85,4.3986,3.8658,14.771602,0.502561,127.4789,12.747893
MTH,2024-07-05,76.115,115.8749,35.1494,4.3082,3.8604,13.980078,0.489477,120.6481,12.064807
MTH,2024-07-08,77.045,115.8749,35.3852,4.2913,3.8522,14.543671,0.497579,125.5119,12.551188
MTH,2024-07-09,77.3,115.8749,35.0767,4.2996,3.8494,14.48076,0.497061,124.969,12.496896
MTH,2024-07-10,80.005,115.8749,35.2617,4.2935,3.8467,16.027354,0.518972,138.3161,13.831607
MTH,2024-07-11,87.395,115.8749,32.0756,4.2007,3.8439,17.7698,0.548167,153.3534,15.335337
MTH,2024-07-12,88.97,115.8749,34.034,4.1549,3.8412,19.84792,0.568872,171.2876,17.128755
MTH,2024-07-15,89.315,115.8749,34.595,4.1587,3.833,20.423195,0.574154,176.2522,17.625218
MTH,2024-07-16,95.265,115.8749,34.122,4.1235,3.8303,23.64695,0.608838,204.0732,20.407318
MTH,2024-07-17,95.01,115.8749,34.3585,4.1065,3.8275,23.626446,0.607864,203.8962,20.389623
MTH,2024-07-18,96.935,115.8749,34.7902,4.1347,3.8248,25.129012,0.621471,216.8634,21.686337
MTH,2024-07-19,95.05,115.8749,35.1,4.1696,3.822,24.235984,0.612502,209.1565,20.915654
MTH,2024-07-22,96.7,115.8749,34.6409,4.1874,3.8138,24.898508,0.620186,214.8741,21.487413
MTH,2024-07-23,98.825,115.8749,34.52,4.1702,3.8111,26.068459,0.63126,224.9708,22.49708
MTH,2024-07-24,95.76,115.8749,36.4771,4.1628,3.8084,25.570263,0.621705,220.6714,22.067137
MTH,2024-07-25,96.58,115.8749,34.4069,4.1659,3.8056,24.591105,0.617729,212.2212,21.222124
MTH,2024-07-26,100.05,115.8749,34.0863,4.1124,3.8029,26.380729,0.634939,227.6657,22.766569
MTH,2024-07-29,101.04,115.8749,34.4704,4.089,3.7947,27.184548,0.640791,234.6026,23.460265
MTH,2024-07-30,101.64,115.8749,34.6249,4.0642,3.7919,27.638989,0.643973,238.5245,23.852448
MTH,2024-07-31,101.435,115.8749,34.6304,4.0082,3.7892,27.41015,0.641568,236.5496,23.654959
MTH,2024-08-01,97.99,115.8749,35.7135,3.8937,3.7864,25.923268,0.624456,223.7178,22.37178
MTH,2024-08-02,95.655,115.8749,37.2755,3.6618,3.7837,25.312961,0.613524,218.4509,21.845086
MTH,2024-08-05,91.005,115.8749,39.6303,3.6149,3.7755,24.059532,0.597979,207.6338,20.763376
MTH,2024-08-06,91.525,115.8749,37.8089,3.6952,3.7728,23.19306,0.592974,200.1561,20.015611
MTH,2024-08-07,87.1,115.8749,37.6342,3.7463,3.77,20.452114,0.565593,176.5017,17.650174
MTH,2024-08-08,89.285,115.8749,36.7218,3.7851,3.7673,21.167394,0.574924,182.6746,18.267461
MTH,2024-08-09,89.285,115.8749,35.6551,3.7787,3.7645,20.403437,0.568474,176.0817,17.608166
MTH,2024-08-12,88.86,115.8749,35.6756,3.7407,3.7563,20.083248,0.564551,173.3184,17.331843
MTH,2024-08-13,89.9,115.8749,35.2847,3.6733,3.7536,20.341841,0.567587,175.5501,17.555009
MTH,2024-08-14,89.365,115.8749,34.745,3.6548,3.7509,19.609909,0.56022,169.2335,16.923352
MTH,2024-08-15,90.32,115.8749,34.0611,3.7524,3.7481,19.796851,0.564695,170.8468,17.084683
MTH,2024-08-16,89.88,115.8749,35.2071,3.7465,3.7454,20.32322,0.568172,175.3894,17.538939
MTH,2024-08-19,93.495,115.8749,33.4184,3.7359,3.7372,21.163056,0.58157,182.6372,18.263717
MTH,2024-08-20,92.645,115.8749,34.829,3.6893,3.7344,21.590683,0.582335,186.3276,18.632759
MTH,2024-08-21,97.075,115.8749,33.5882,3.6351,3.7317,23.257723,0.602538,200.7142,20.071415
MTH,2024-08-22,96.42,115.8749,33.6742,3.6886,3.729,22.988386,0.599989,198.3898,19.838977
MTH,2024-08-23,102.97,115.8749,34.304,3.6382,3.7262,27.361326,0.639014,236.1282,23.612824
MTH,2024-08-26,100.915,115.8749,34.3255,3.6374,3.718,26.006561,0.627195,224.4366,22.443662
MTH,2024-08-27,99.475,115.8749,34.6942,3.6316,3.7153,25.396163,0.620392,219.1689,21.916889
MTH,2024-08-28,98.895,115.8749,34.1176,3.6321,3.7125,24.625938,0.614715,212.5218,21.252184
MTH,2024-08-29,98.55,115.8749,35.1659,3.6546,3.7098,25.189027,0.61737,217.3813,21.73813
MTH,2024-08-30,99.035,115.8749,34.197,3.6823,3.707,24.808051,0.616696,214.0935,21.409348
MTH,2024-09-03,95.34,115.8749,36.4692,3.638,3.6961,24.115241,0.603963,208.1145,20.811453
MTH,2024-09-04,95.13,115.8749,35.9755,3.5469,3.6934,23.517237,0.598463,202.9538,20.295376
MTH,2024-09-05,94.635,115.8749,34.5828,3.5094,3.6906,22.179727,0.587765,191.411,19.141104
MTH,2024-09-06,94.825,115.8749,36.7118,3.4572,3.6879,23.719461,0.598161,204.6989,20.469895
MTH,2024-09-09,94.885,115.8749,35.8111,3.4351,3.6797,23.05585,0.593335,198.972,19.897198
MTH,2024-09-10,95.325,115.8749,35.5495,3.3781,3.6769,23.048007,0.593379,198.9043,19.89043
MTH,2024-09-11,95.89,115.8749,34.9375,3.3872,3.6742,22.945227,0.593875,198.0173,19.801731
MTH,2024-09-12,97.78,115.8749,35.6116,3.3997,3.6715,24.540061,0.60812,211.7807,21.178073
MTH,2024-09-13,101.78,115.8749,35.7037,3.357,3.6687,26.946076,0.629478,232.5446,23.254464
MTH,2024-09-16,100.8,115.8749,35.419,3.3276,3.6605,26.033029,0.622057,224.665,22.466504
MTH,2024-09-17,102.175,115.8749,34.8894,3.3453,3.6578,26.52902,0.628008,228.9454,22.894544
MTH,2024-09-18,101.28,115.8749,35.2064,3.3737,3.655,26.19883,0.62457,226.0959,22.60959
MTH,2024-09-19,106.845,115.8749,34.0767,3.3868,3.6523,29.039651,0.651826,250.6122,25.061218
MTH,2024-09-20,101.665,115.8749,34.9147,3.3782,3.6496,26.215507,0.625553,226.2398,22.623983
MTH,2024-09-23,102.94,115.8749,36.3065,3.3894,3.6413,28.075641,0.637699,242.2928,24.229278
MTH,2024-09-24,102.7,115.8749,36.289,3.3684,3.6386,27.860854,0.63583,240.4392,24.043917
MTH,2024-09-25,100.225,115.8749,37.1127,3.4005,3.6359,26.880466,0.626065,231.9784,23.197842
MTH,2024-09-26,100.335,115.8749,37.1685,3.4411,3.6331,27.024716,0.627526,233.2233,23.32233
MTH,2024-09-27,101.87,115.8749,35.4981,3.4076,3.6304,26.733393,0.628811,230.7092,23.070918
MTH,2024-09-30,102.535,115.8749,35.6292,3.4659,3.6222,27.311369,0.633885,235.6971,23.569711
MTH,2024-10-01,102.7,115.8749,35.9691,3.4353,3.6194,27.618526,0.635304,238.3479,23.834788
MTH,2024-10-02,101.16,115.8749,36.2301,3.4565,3.6167,26.802749,0.628047,231.3077,23.130772
MTH,2024-10-03,101.215,115.8749,36.5019,3.5184,3.614,27.108671,0.630501,233.9478,23.394783
MTH,2024-10-04,99.02,115.8749,36.208,3.6893,3.6112,25.782777,0.620896,222.5054,22.250537
MTH,2024-10-07,97.615,115.8749,36.2349,3.7798,3.603,25.040802,0.614723,216.1021,21.610212
MTH,2024-10-08,98.095,115.8749,37.7734,3.7936,3.6003,26.404815,0.623716,227.8736,22.787355
MTH,2024-10-09,97.41,115.8749,37.1123,3.832,3.5975,25.569357,0.618003,220.6635,22.066355
MTH,2024-10-10,96.04,115.8749,36.7443,3.8407,3.5948,24.491417,0.608872,211.3609,21.136093
MTH,2024-10-11,96.895,115.8749,36.3203,3.8204,3.5921,24.668765,0.611374,212.8914,21.289144
MTH,2024-10-14,98.37,115.8749,36.7454,3.8205,3.5838,25.805842,0.620956,222.7044,22.270442
MTH,2024-10-15,98.91,115.8749,36.6336,3.7998,3.5811,26.010308,0.622924,224.469,22.446896
MTH,2024-10-16,101.64,115.8749,35.3887,3.7847,3.5784,26.74862,0.632724,230.8406,23.084059
MTH,2024-10-17,100.96,115.8749,34.6003,3.8287,3.5756,25.811253,0.626974,222.7511,22.275112
MTH,2024-10-18,102.0,115.8749,34.5287,3.8207,3.5729,26.376805,0.632296,227.6318,22.763182
