ticker,date,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,delta,option_value_per_bond,option_value_pct
PPL2,2023-02-24,27.69,34.0794,22.1809,4.1847,5.0541,5.484794,0.600212,160.9414,16.094141
PPL2,2023-02-27,27.55,34.0794,22.2221,4.1792,5.0459,5.403546,0.595971,158.5573,15.855733
PPL2,2023-02-28,27.07,34.0794,22.6908,4.1797,5.0431,5.237276,0.584712,153.6785,15.367845
PPL2,2023-03-01,26.68,34.0794,22.4722,4.255,5.0404,5.00139,0.575229,146.7568,14.67568
PPL2,2023-03-02,27.12,34.0794,22.3686,4.3107,5.0376,5.256,0.589364,154.2279,15.422786
PPL2,2023-03-03,27.39,34.0794,21.738,4.2687,5.0349,5.238452,0.592398,153.713,15.371296
PPL2,2023-03-06,27.48,34.0794,21.7941,4.2505,5.0267,5.285058,0.594145,155.0805,15.508052
PPL2,2023-03-07,26.88,34.0794,22.4754,4.3057,5.024,5.127289,0.582256,150.4511,15.045106
PPL2,2023-03-08,27.0,34.0794,22.5517,4.3328,5.0212,5.225453,0.586979,153.3315,15.333151
PPL2,2023-03-09,26.58,34.0794,22.677,4.2499,5.0185,4.968472,0.572279,145.7909,14.579087
PPL2,2023-03-10,26.25,34.0794,26.0264,4.0182,5.0157,5.432134,0.574235,159.3962,15.939619
PPL2,2023-03-13,26.76,34.0794,24.2495,3.6931,5.0075,5.140281,0.565257,150.8323,15.083228
PPL2,2023-03-14,26.99,34.0794,23.457,3.7319,5.0048,5.100041,0.568091,149.6515,14.965152
PPL2,2023-03-15,27.24,34.0794,24.3069,3.5717,5.0021,5.347491,0.573538,156.9125,15.69125
PPL2,2023-03-16,27.2,34.0794,24.7858,3.6616,4.9993,5.479196,0.578225,160.7772,16.077715
PPL2,2023-03-17,26.83,34.0794,24.7719,3.4779,4.9966,5.181147,0.562134,152.0314,15.203144
PPL2,2023-03-20,27.27,34.0794,25.1891,3.5325,4.9884,5.537396,0.577314,162.4849,16.248492
PPL2,2023-03-21,26.78,34.0794,24.3973,3.6789,4.9856,5.157768,0.565264,151.3454,15.134542
PPL2,2023-03-22,26.26,34.0794,25.8336,3.5762,4.9829,5.151586,0.557032,151.164,15.116401
PPL2,2023-03-23,25.91,34.0794,25.8568,3.4178,4.9802,4.892959,0.542617,143.5751,14.357506
PPL2,2023-03-24,26.78,34.0794,25.0453,3.3841,4.9774,5.153533,0.558484,151.2211,15.122115
PPL2,2023-03-27,26.96,34.0794,24.2272,3.5311,4.9692,5.127283,0.563023,150.4509,15.045088
PPL2,2023-03-28,27.09,34.0794,25.2166,3.5896,4.9665,5.450436,0.574042,159.9332,15.993323
PPL2,2023-03-29,27.53,34.0794,24.452,3.6267,4.9637,5.539965,0.582357,162.5603,16.256029
PPL2,2023-03-30,27.55,34.0794,24.1838,3.63,4.961,5.48487,0.581423,160.9436,16.094363
PPL2,2023-03-31,27.79,34.0794,24.2686,3.5811,4.9582,5.626035,0.586473,165.0859,16.508587
PPL2,2023-04-03,27.58,34.0794,24.1712,3.5126,4.95,5.428367,0.577523,159.2857,15.928566
PPL2,2023-04-04,27.55,34.0794,24.3855,3.4002,4.9473,5.402404,0.57382,158.5238,15.852381
PPL2,2023-04-05,28.38,34.0794,23.7113,3.3407,4.9446,5.707008,0.590094,167.4619,16.746189
PPL2,2023-04-06,28.55,34.0794,23.9019,3.3386,4.9418,5.854314,0.595293,171.7843,17.17843
