ticker,date,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,delta,option_value_per_bond,option_value_pct
REXR1,2024-03-28,50.3,63.6351,22.9746,4.3721,2.9624,5.788612,0.470718,90.9657,9.096573
REXR1,2024-04-01,48.84,63.6351,26.001,4.46,2.9514,6.148886,0.468821,96.6273,9.662729
REXR1,2024-04-02,48.57,63.6351,25.983,4.482,2.9487,6.019376,0.464067,94.5921,9.459208
REXR1,2024-04-03,48.7,63.6351,27.0805,4.4738,2.9459,6.449502,0.475039,101.3513,10.135134
REXR1,2024-04-04,48.46,63.6351,27.3976,4.444,2.9432,6.41702,0.472279,100.8409,10.08409
REXR1,2024-04-05,48.61,63.6351,26.5278,4.5009,2.9405,6.211677,0.469093,97.614,9.761402
REXR1,2024-04-08,48.99,63.6351,26.4299,4.5462,2.9322,6.373765,0.475961,100.1612,10.016116
REXR1,2024-04-09,49.37,63.6351,25.972,4.5194,2.9295,6.386966,0.478524,100.3686,10.036861
REXR1,2024-04-10,47.89,63.6351,26.9949,4.688,2.9268,6.092595,0.463733,95.7427,9.574269
REXR1,2024-04-11,47.59,63.6351,26.9227,4.7186,2.924,5.94886,0.458536,93.484,9.348395
REXR1,2024-04-12,46.68,63.6351,27.6673,4.6809,2.9213,5.762083,0.447599,90.5488,9.054883
REXR1,2024-04-15,45.07,63.6351,22.6885,4.7394,2.9131,3.598569,0.365718,56.5501,5.655007
REXR1,2024-04-16,44.66,63.6351,20.9229,4.7808,2.9103,2.936836,0.333521,46.1512,4.615121
REXR1,2024-04-17,42.24,63.6351,26.7764,4.7423,2.9076,3.709726,0.35594,58.2969,5.829685
REXR1,2024-04-18,43.19,63.6351,27.0848,4.7758,2.9049,4.137264,0.377706,65.0154,6.501545
REXR1,2024-04-19,42.74,63.6351,25.512,4.7712,2.9021,3.544724,0.351106,55.7039,5.570392
REXR1,2024-04-22,43.01,63.6351,26.67,4.7692,2.8939,3.940112,0.368858,61.9173,6.191729
REXR1,2024-04-23,43.73,63.6351,30.121,4.7455,2.8912,5.194557,0.416675,81.6304,8.163039
REXR1,2024-04-24,42.54,63.6351,27.3671,4.7566,2.8884,3.944431,0.366821,61.9851,6.198515
REXR1,2024-04-25,43.0,63.6351,26.6581,4.8065,2.8857,3.931365,0.368694,61.7798,6.177983
REXR1,2024-04-26,43.2,63.6351,26.8863,4.8059,2.883,4.058545,0.374614,63.7784,6.377841
REXR1,2024-04-29,43.39,63.6351,25.7562,4.7824,2.8747,3.799209,0.364651,59.703,5.970305
REXR1,2024-04-30,42.81,63.6351,24.9098,4.829,2.872,3.369731,0.343656,52.954,5.295398
REXR1,2024-05-01,42.39,63.6351,27.8082,4.7851,2.8693,3.982185,0.36772,62.5785,6.257845
REXR1,2024-05-02,43.48,63.6351,25.6909,4.7286,2.8665,3.780292,0.363607,59.4058,5.940578
REXR1,2024-05-03,44.4,63.6351,23.8642,4.6524,2.8638,3.573604,0.358769,56.1578,5.615775
REXR1,2024-05-06,44.31,63.6351,28.7963,4.638,2.8556,4.929619,0.408786,77.467,7.746699
REXR1,2024-05-07,45.1,63.6351,21.8316,4.6273,2.8528,3.217487,0.346617,50.5615,5.056152
REXR1,2024-05-08,44.9,63.6351,23.9666,4.6411,2.8501,3.752212,0.368668,58.9645,5.896451
REXR1,2024-05-09,45.3,63.6351,28.3188,4.6204,2.8474,5.184001,0.421296,81.4645,8.14645
REXR1,2024-05-10,45.11,63.6351,22.8454,4.6517,2.8446,3.507041,0.359673,55.1117,5.511175
REXR1,2024-05-13,44.83,63.6351,24.5388,4.6512,2.8364,3.864502,0.372658,60.7291,6.07291
REXR1,2024-05-14,45.39,63.6351,24.1204,4.6237,2.8337,3.933142,0.378215,61.8077,6.180775
REXR1,2024-05-15,45.9,63.6351,27.2311,4.546,2.8309,5.044512,0.418881,79.2725,7.927249
REXR1,2024-05-16,46.13,63.6351,23.991,4.5649,2.8282,4.130892,0.389372,64.9153,6.491531
REXR1,2024-05-17,46.35,63.6351,27.4391,4.5906,2.8255,5.305839,0.429781,83.3791,8.337914
REXR1,2024-05-20,46.22,63.6351,26.0565,4.6118,2.8172,4.8172,0.413903,75.7004,7.570037
REXR1,2024-05-21,45.8,63.6351,22.001,4.6023,2.8145,3.443616,0.360141,54.1151,5.411505
REXR1,2024-05-22,45.46,63.6351,21.9858,4.6232,2.8118,3.320291,0.352706,52.177,5.217705
REXR1,2024-05-23,44.05,63.6351,28.7467,4.6805,2.809,4.720098,0.400196,74.1745,7.417445
REXR1,2024-05-24,43.68,63.6351,23.6669,4.7005,2.8063,3.178316,0.336631,49.946,4.994597
REXR1,2024-05-28,43.7,63.6351,21.6225,4.7332,2.7953,2.633994,0.309454,41.3922,4.139217
REXR1,2024-05-29,44.34,63.6351,26.1249,4.7845,2.7926,4.087162,0.379393,64.2281,6.422812
REXR1,2024-05-30,44.7,63.6351,26.2904,4.7523,2.7899,4.241582,0.386655,66.6548,6.665476
REXR1,2024-05-31,45.36,63.6351,29.0115,4.7115,2.7871,5.322013,0.425772,83.6333,8.36333
REXR1,2024-06-03,44.7,63.6351,26.5567,4.635,2.7789,4.252135,0.385587,66.8206,6.682061
REXR1,2024-06-04,44.87,63.6351,26.9058,4.5723,2.7762,4.403026,0.391219,69.1918,6.919179
