ticker,date,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,delta,option_value_per_bond,option_value_pct
VTR,2023-06-13,45.91,54.7112,27.319,4.3502,2.9678,7.691894,0.553559,140.5909,14.05909
VTR,2023-06-14,46.32,54.7112,27.1803,4.405,2.9651,7.909826,0.561733,144.5742,14.457422
VTR,2023-06-15,46.13,54.7112,26.3115,4.3312,2.9624,7.47346,0.551937,136.5984,13.659842
VTR,2023-06-16,46.08,54.7112,24.8214,4.3733,2.9596,6.980081,0.544376,127.5805,12.758052
VTR,2023-06-20,45.42,54.7112,25.2657,4.3767,2.9487,6.758684,0.533107,123.5339,12.353387
VTR,2023-06-21,44.96,54.7112,24.7164,4.3746,2.9459,6.353315,0.520501,116.1246,11.612462
VTR,2023-06-22,44.49,54.7112,24.2099,4.4341,2.9432,5.984637,0.508877,109.386,10.938599
VTR,2023-06-23,44.47,54.7112,25.7193,4.4226,2.9405,6.420013,0.517475,117.3437,11.734372
VTR,2023-06-26,45.87,54.7112,23.9811,4.4104,2.9322,6.583446,0.535316,120.3309,12.03309
VTR,2023-06-27,46.96,54.7112,24.4541,4.4543,2.9295,7.352571,0.561073,134.3888,13.438881
VTR,2023-06-28,46.58,54.7112,23.5571,4.4305,2.9268,6.817457,0.548107,124.6081,12.460812
VTR,2023-06-29,47.62,54.7112,24.0332,4.5604,2.924,7.653393,0.575402,139.8872,13.988719
VTR,2023-06-30,47.27,54.7112,22.7183,4.5801,2.9213,7.023164,0.56337,128.368,12.836799
VTR,2023-07-03,48.26,54.7112,23.0773,4.6374,2.9131,7.744705,0.586819,141.5562,14.155617
VTR,2023-07-05,48.78,54.7112,23.5808,4.6778,2.9076,8.228474,0.599509,150.3984,15.03984
VTR,2023-07-06,48.18,54.7112,25.8312,4.7525,2.9049,8.628994,0.596119,157.719,15.771902
VTR,2023-07-07,47.9,54.7112,25.0095,4.7442,2.9021,8.189771,0.58797,149.691,14.9691
VTR,2023-07-10,47.97,54.7112,24.6717,4.6718,2.8939,8.062309,0.585847,147.3613,14.736127
VTR,2023-07-11,48.79,54.7112,24.3936,4.652,2.8912,8.441048,0.600159,154.2838,15.428379
VTR,2023-07-12,48.31,54.7112,23.656,4.5298,2.8884,7.841866,0.585172,143.3321,14.333206
VTR,2023-07-13,48.52,54.7112,23.409,4.4012,2.8857,7.803662,0.584905,142.6338,14.263377
VTR,2023-07-14,48.07,54.7112,24.1285,4.4469,2.883,7.791911,0.579311,142.419,14.241898
VTR,2023-07-17,47.91,54.7112,24.0955,4.4455,2.8747,7.668275,0.575475,140.1592,14.015919
VTR,2023-07-18,47.6,54.7112,23.868,4.4394,2.872,7.40363,0.567959,135.3221,13.532206
VTR,2023-07-19,48.21,54.7112,23.8022,4.426,2.8693,7.726503,0.579669,141.2235,14.122349
VTR,2023-07-20,49.69,54.7112,23.2441,4.4916,2.8665,8.450986,0.609289,154.4654,15.446543
VTR,2023-07-21,49.53,54.7112,22.8725,4.5141,2.8638,8.245858,0.605891,150.7161,15.071614
VTR,2023-07-24,49.68,54.7112,22.551,4.557,2.8556,8.240216,0.609092,150.613,15.061302
VTR,2023-07-25,49.29,54.7112,22.9137,4.602,2.8528,8.146628,0.60305,148.9024,14.890245
VTR,2023-07-26,48.87,54.7112,23.1549,4.5749,2.8501,7.95237,0.594195,145.3518,14.535184
VTR,2023-07-27,48.0,54.7112,23.9223,4.6557,2.8474,7.724464,0.580863,141.1862,14.118622
VTR,2023-07-28,48.13,54.7112,23.4756,4.6289,2.8446,7.636812,0.581165,139.5841,13.958412
VTR,2023-07-31,48.52,54.7112,24.1886,4.6243,2.8364,8.073181,0.590614,147.56,14.756
VTR,2023-08-01,48.57,54.7112,23.8671,4.6654,2.8337,8.018301,0.591649,146.5569,14.65569
VTR,2023-08-02,48.48,54.7112,25.0453,4.6568,2.8309,8.32731,0.592877,152.2049,15.220491
VTR,2023-08-03,48.22,54.7112,25.3561,4.687,2.8282,8.283203,0.589498,151.3987,15.139873
VTR,2023-08-04,44.93,54.7112,25.2048,4.5869,2.8255,6.340685,0.520366,115.8938,11.589377
VTR,2023-08-07,45.59,54.7112,24.9933,4.5739,2.8172,6.589245,0.531852,120.4369,12.04369
VTR,2023-08-08,45.49,54.7112,25.5449,4.5305,2.8145,6.674211,0.531422,121.9899,12.198989
VTR,2023-08-09,44.51,54.7112,25.8884,4.5371,2.8118,6.277786,0.513556,114.7441,11.474412
VTR,2023-08-10,43.56,54.7112,25.8858,4.5838,2.809,5.812291,0.494635,106.2359,10.623589
VTR,2023-08-11,42.81,54.7112,26.518,4.6493,2.8063,5.641735,0.484566,103.1185,10.31185
VTR,2023-08-14,42.8,54.7112,25.9397,4.698,2.7981,5.469265,0.480555,99.9661,9.996614
VTR,2023-08-15,42.08,54.7112,26.5234,4.7107,2.7953,5.275493,0.469266,96.4244,9.64244
VTR,2023-08-16,41.6,54.7112,27.2749,4.749,2.7926,5.26377,0.465566,96.2101,9.621014
VTR,2023-08-17,42.0,54.7112,26.5009,4.7513,2.7899,5.233134,0.467856,95.6502,9.565018
VTR,2023-08-18,41.96,54.7112,27.7333,4.7232,2.7871,5.556797,0.475968,101.566,10.156602
VTR,2023-08-21,41.64,54.7112,27.1029,4.7728,2.7789,5.219009,0.464606,95.392,9.539201
VTR,2023-08-22,41.94,54.7112,27.4874,4.8134,2.7762,5.48787,0.474892,100.3062,10.030618
VTR,2023-08-23,43.28,54.7112,26.2787,4.7272,2.7734,5.773803,0.492363,105.5324,10.553242
VTR,2023-08-24,43.3,54.7112,26.7922,4.7464,2.7707,5.936737,0.496647,108.5105,10.85105
VTR,2023-08-25,43.06,54.7112,26.4131,4.7828,2.768,5.713536,0.489561,104.4309,10.443086
VTR,2023-08-28,43.38,54.7112,25.8102,4.7696,2.7598,5.676104,0.491215,103.7467,10.37467
VTR,2023-08-29,43.55,54.7112,25.0631,4.6879,2.757,5.500681,0.487255,100.5403,10.054034
VTR,2023-08-30,43.92,54.7112,24.1066,4.6766,2.7543,5.393416,0.488194,98.5798,9.857978
VTR,2023-08-31,43.68,54.7112,23.437,4.6491,2.7515,5.052246,0.476408,92.3439,9.234394
VTR,2023-09-01,43.08,54.7112,24.6119,4.6718,2.7488,5.103803,0.471859,93.2863,9.328629
VTR,2023-09-05,42.25,54.7112,24.1997,4.7364,2.7379,4.623319,0.450654,84.5041,8.45041
VTR,2023-09-06,42.64,54.7112,24.9186,4.8041,2.7351,5.004434,0.46652,91.47,9.147005
VTR,2023-09-07,42.59,54.7112,25.208,4.7626,2.7324,5.037132,0.466286,92.0677,9.206769
VTR,2023-09-08,42.38,54.7112,24.2432,4.7619,2.7296,4.685673,0.453969,85.6438,8.564379
VTR,2023-09-11,43.02,54.7112,24.3309,4.7727,2.7214,4.975043,0.46857,90.9328,9.093284
