ticker,date,stock_price,conversion_price,implied_vol_pct,risk_free_rate_pct,remaining_maturity,option_value,delta,option_value_per_bond,option_value_pct
WEC2,2024-05-28,79.72,98.7723,21.5422,4.4754,5.0103,15.508256,0.602077,157.0102,15.701024
WEC2,2024-05-29,78.88,98.7723,18.6176,4.5433,5.0075,13.104953,0.58351,132.6785,13.267848
WEC2,2024-05-30,79.26,98.7723,18.3504,4.5125,5.0048,13.086143,0.585347,132.488,13.248804
WEC2,2024-05-31,81.03,98.7723,18.1884,4.4692,5.0021,13.954834,0.603656,141.2829,14.128293
WEC2,2024-06-03,81.18,98.7723,18.0054,4.3767,4.9938,13.732338,0.600076,139.0303,13.903031
WEC2,2024-06-04,82.14,98.7723,17.9708,4.3004,4.9911,14.137708,0.607491,143.1344,14.31344
WEC2,2024-06-05,81.0,98.7723,18.0902,4.2521,4.9884,13.453731,0.592042,136.2096,13.620961
WEC2,2024-06-06,80.35,98.7723,17.9445,4.2278,4.9856,12.918273,0.582326,130.7885,13.078847
WEC2,2024-06-07,79.85,98.7723,18.1011,4.345,4.9829,12.922333,0.582391,130.8296,13.082958
WEC2,2024-06-10,79.44,98.7723,18.2344,4.4002,4.9747,12.841735,0.580192,130.0136,13.001358
WEC2,2024-06-11,79.75,98.7723,18.4605,4.3513,4.9719,13.096988,0.582511,132.5978,13.259784
WEC2,2024-06-12,79.31,98.7723,18.5015,4.2776,4.9692,12.737518,0.573808,128.9585,12.895845
WEC2,2024-06-13,78.54,98.7723,18.0835,4.2007,4.9665,11.855852,0.558209,120.0322,12.00322
WEC2,2024-06-14,78.86,98.7723,17.5316,4.173,4.9637,11.594425,0.557642,117.3854,11.738544
WEC2,2024-06-17,78.37,98.7723,18.1292,4.2189,4.9555,11.788383,0.556622,119.3491,11.934913
WEC2,2024-06-18,78.05,98.7723,18.6232,4.1838,4.9528,11.89286,0.553754,120.4069,12.040688
WEC2,2024-06-20,79.25,98.7723,18.1051,4.1977,4.9473,12.232171,0.566154,123.8422,12.384216
WEC2,2024-06-21,78.23,98.7723,18.3232,4.2014,4.9446,11.789018,0.554598,119.3556,11.935555
WEC2,2024-06-24,79.35,98.7723,17.8374,4.2043,4.9363,12.081309,0.565771,122.3148,12.23148
WEC2,2024-06-25,78.32,98.7723,17.9204,4.1959,4.9336,11.514578,0.552467,116.577,11.657705
WEC2,2024-06-26,78.15,98.7723,18.1825,4.2573,4.9309,11.69199,0.554695,118.3732,11.837321
WEC2,2024-06-27,78.45,98.7723,17.7369,4.2451,4.9281,11.521592,0.555184,116.6481,11.664806
WEC2,2024-06-28,78.46,98.7723,18.3199,4.2761,4.9254,11.987408,0.560046,121.3641,12.136412
WEC2,2024-07-01,77.69,98.7723,20.385,4.3637,4.9172,13.099783,0.566084,132.6261,13.262614
WEC2,2024-07-02,78.04,98.7723,17.4137,4.3438,4.9144,11.186667,0.552182,113.2572,11.325717
WEC2,2024-07-03,77.68,98.7723,18.2026,4.2929,4.9117,11.433454,0.549456,115.7557,11.575572
WEC2,2024-07-05,77.85,98.7723,18.1307,4.2018,4.9062,11.327351,0.546522,114.6815,11.46815
WEC2,2024-07-08,78.05,98.7723,18.607,4.1847,4.898,11.737136,0.550868,118.8303,11.883029
WEC2,2024-07-09,78.01,98.7723,18.006,4.195,4.8953,11.291737,0.546887,114.3209,11.432093
WEC2,2024-07-10,78.19,98.7723,18.0882,4.1892,4.8925,11.440143,0.549329,115.8234,11.582344
WEC2,2024-07-11,80.34,98.7723,17.9968,4.098,4.8898,12.47618,0.571523,126.3126,12.631258
WEC2,2024-07-12,80.79,98.7723,17.6601,4.0563,4.8871,12.423586,0.573373,125.7801,12.578011
WEC2,2024-07-15,79.61,98.7723,17.6305,4.0674,4.8789,11.712843,0.55834,118.5843,11.858433
WEC2,2024-07-16,80.81,98.7723,17.6232,4.0328,4.8761,12.341185,0.571768,124.9459,12.494586
WEC2,2024-07-17,82.36,98.7723,18.1368,4.0156,4.8734,13.560167,0.591756,137.2872,13.72872
WEC2,2024-07-18,82.05,98.7723,18.7479,4.0459,4.8706,13.847972,0.591672,140.201,14.020102
WEC2,2024-07-19,81.55,98.7723,19.1771,4.0839,4.8679,13.912557,0.589259,140.8549,14.08549
WEC2,2024-07-22,82.03,98.7723,18.5806,4.1038,4.8597,13.7894,0.592981,139.608,13.960802
WEC2,2024-07-23,81.75,98.7723,18.6884,4.0887,4.8569,13.669285,0.589345,138.3919,13.839194
WEC2,2024-07-24,83.56,98.7723,18.9628,4.0876,4.8542,14.886974,0.610254,150.7202,15.072019
WEC2,2024-07-25,83.32,98.7723,18.9452,4.0916,4.8515,14.736647,0.607659,149.1982,14.919823
